batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
96,0.00010,0.3,930,0.050901692,0.22561404,0.17778462,-0.06371712740639501,0.5566904629247128,0.4894165291627782,0.044156376,0.2101342,0.16706152,0.0772430638852124,0.5365860496729533,0.4820150416669555,114,111
96,0.00050,0.3,930,0.040077955,0.20019479,0.15546584,0.16247171323873544,0.5723686142477407,0.5219008911255727,0.035984777,0.18969654,0.14571735,0.2480088608532931,0.5579607676260835,0.5199407107233174,47,38
96,0.00100,0.3,930,0.03224557,0.17957051,0.13819885,0.3261489043083815,0.5809613427943344,0.5259204814783404,0.03224557,0.17957051,0.13819885,0.3261489043083815,0.5809613427943344,0.5259204814783404,19,19
96,0.00500,0.3,930,0.033385307,0.18271646,0.14063746,0.30233124351234586,0.5899203553116678,0.53945361084296,0.033385307,0.18271646,0.14063746,0.30233124351234586,0.5899203553116678,0.53945361084296,18,18
168,0.00010,0.3,930,0.04578618,0.21397705,0.16880475,0.043184225490654704,0.5532478478024478,0.5040638221269202,0.040770322,0.20191662,0.15689312,0.14800300008914002,0.5368121252092274,0.4909523714302831,144,147
168,0.00050,0.3,930,0.046285383,0.21514039,0.16988268,0.0327521922089985,0.5539798916862219,0.5068133365858088,0.037430316,0.19346917,0.14973804,0.21780075223300044,0.5167593134065848,0.4556962375721308,25,23
168,0.00100,0.3,930,0.04393679,0.20961104,0.16425121,0.08183179270330587,0.546725230508508,0.4797183111130143,0.038621217,0.19652282,0.15283053,0.19291382946832614,0.5475377526289116,0.48960596679885304,20,18
168,0.00500,0.3,930,0.038975757,0.19742279,0.15263985,0.18550482803547852,0.5435036905378379,0.4823146386538791,0.03715724,0.19276214,0.14944905,0.22350724871050454,0.5219738455818655,0.4648217893170491,17,4
322,0.00010,0.3,930,0.09794775,0.31296605,0.2598333,-1.0468611530088778,0.4850489712477685,0.43669595448979315,0.09549927,0.30902955,0.25435087,-0.9956940838529413,0.4138390179886155,0.38757816742047,37,23
322,0.00050,0.3,930,0.039223563,0.1980494,0.15431297,0.1803263830787739,0.5492279051564574,0.4895161159292143,0.038113255,0.19522616,0.1508905,0.20352899741256503,0.5305826984711391,0.47756572807583125,50,41
322,0.00100,0.3,930,0.035667256,0.18885776,0.14734225,0.25464425299287885,0.5602268713922023,0.49524088856505044,0.035667256,0.18885776,0.14734225,0.25464425299287885,0.5602268713922023,0.49524088856505044,24,24
322,0.00500,0.3,930,0.037267722,0.19304849,0.15006983,0.22119845750813727,0.512941052664401,0.44442540271645675,0.037267722,0.19304849,0.15006983,0.22119845750813727,0.512941052664401,0.44442540271645675,6,6
96,0.00010,0.3,350,0.05727363,0.2393191,0.19134642,-0.11837601561003241,0.5727604471104193,0.4996822489088262,0.046306245,0.21518886,0.1689299,0.0957829495715925,0.5767724732119779,0.4975901096309448,128,118
96,0.00050,0.3,350,0.03593756,0.18957204,0.14605224,0.2982512036478986,0.5927382517100498,0.5224926869048495,0.034971897,0.18700774,0.14546753,0.3171075669431417,0.5720351132277754,0.503454503066163,33,22
96,0.00100,0.3,350,0.042811353,0.20690905,0.16091794,0.16402738916149973,0.5306288215073949,0.4504484099801805,0.04056234,0.20140094,0.15770128,0.20794353318434644,0.5423490083466216,0.4616931765242593,9,5
96,0.00500,0.3,350,0.038245805,0.19556534,0.15256369,0.2531782612823784,0.5918228364842057,0.5124393216646971,0.03770122,0.19416802,0.15218352,0.26381243819229805,0.5737408675357999,0.47445947726258536,33,35
168,0.00010,0.3,350,0.046777498,0.21628106,0.16618925,0.08658086457695924,0.5433192627150932,0.4955132963561495,0.046777498,0.21628106,0.16618925,0.08658086457695924,0.5433192627150932,0.4955132963561495,138,138
168,0.00050,0.3,350,0.04270338,0.20664796,0.16151069,0.16613578198076873,0.5278854407732414,0.4511156714806497,0.03779556,0.1944108,0.15058456,0.2619702651968583,0.5447715850417926,0.47403604932549503,23,27
168,0.00100,0.3,350,0.039406564,0.19851087,0.15465446,0.23051230310823634,0.592294744052072,0.5091199328958765,0.036202572,0.19026974,0.14655082,0.29307634294408325,0.5633976598260881,0.49261780256647225,64,66
168,0.00500,0.3,350,0.035922922,0.18953343,0.145627,0.2985370383024495,0.5799193455797945,0.48936332280592215,0.035922922,0.18953343,0.145627,0.2985370383024495,0.5799193455797945,0.48936332280592215,40,40
322,0.00010,0.3,350,0.12086432,0.34765545,0.29529017,-1.360104373434082,0.5106761180544016,0.4620793451890473,0.09748294,0.31222257,0.25772095,-0.9035388850209931,0.4814524154202333,0.4221950391162842,39,35
322,0.00050,0.3,350,0.0668981,0.25864667,0.20713799,-0.30631187990095055,0.5431389455036658,0.4815234218534886,0.039029174,0.19755803,0.15401869,0.23788153075424046,0.5365591314544822,0.45662546317600244,36,34
322,0.00100,0.3,350,0.03356704,0.1832131,0.14229803,0.344539948982034,0.602311175238002,0.5177166999742445,0.03356704,0.1832131,0.14229803,0.344539948982034,0.602311175238002,0.5177166999742445,33,33
322,0.00500,0.3,350,0.05310697,0.2304495,0.18698668,-0.03701404711702172,0.6064389176119626,0.5394896307120013,0.036822572,0.19189209,0.14754714,0.28096967613249346,0.5448003506890917,0.4746932286807391,34,19
96,0.00010,0.3,490,0.044859815,0.21180137,0.16833854,0.07866143295846673,0.569957547558419,0.4889090475769467,0.04005277,0.20013188,0.15546474,0.17738941765333283,0.5674045867962715,0.48480586857947877,118,117
96,0.00050,0.3,490,0.055062547,0.2346541,0.18916194,-0.13088388787753247,0.565804465792116,0.4806371721119744,0.03581433,0.18924674,0.14797872,0.26443920228697404,0.5455675310417665,0.45534479898062946,24,10
96,0.00100,0.3,490,0.049353186,0.22215576,0.17617567,-0.013624086851656614,0.5590169386405278,0.4725049954328129,0.03702798,0.19242656,0.15049893,0.2395130813073295,0.5575609326273282,0.4771373184243645,15,14
96,0.00500,0.3,490,0.062404472,0.24980888,0.20453417,-0.2816736511711131,0.5824210855180446,0.5098067156893429,0.03438616,0.18543506,0.14438175,0.2937711642141779,0.5744263651996367,0.48760092872960864,31,23
168,0.00010,0.3,490,0.041251007,0.20310344,0.15755907,0.1527797933540076,0.5267804609991991,0.4582436498228972,0.038845785,0.19709334,0.15304486,0.202178746412778,0.5343073309690767,0.46018575829215147,156,162
168,0.00050,0.3,490,0.037645295,0.19402395,0.15169042,0.2268345907686965,0.5487240517612189,0.47773229975518156,0.037645295,0.19402395,0.15169042,0.2268345907686965,0.5487240517612189,0.47773229975518156,41,41
168,0.00100,0.3,490,0.03965698,0.19914061,0.15495609,0.18551819731944763,0.5483633384948084,0.47582917210612424,0.037365973,0.1933028,0.15120104,0.23257131612936888,0.5456391829034101,0.46511706488648397,51,41
168,0.00500,0.3,490,0.04004642,0.20011602,0.15606055,0.17751974765157996,0.5282029860837771,0.455042374770048,0.04004642,0.20011602,0.15606055,0.17751974765157996,0.5282029860837771,0.455042374770048,6,6
322,0.00010,0.3,490,0.1050801,0.3241606,0.27403328,-1.1581528856413512,0.5221013250959229,0.45664183158703386,0.099608906,0.3156088,0.2614119,-1.0457846663776076,0.471915289473618,0.38930965068132883,62,56
322,0.00050,0.3,490,0.042298727,0.20566654,0.16169675,0.13126157330792365,0.5554401608296625,0.4774151466793346,0.038772598,0.19690758,0.15383679,0.2036818738791606,0.5406747701492182,0.471232682792102,72,62
322,0.00100,0.3,490,0.034933947,0.18690625,0.14502767,0.2825207196787024,0.560141028504619,0.4812428824998553,0.034933947,0.18690625,0.14502767,0.2825207196787024,0.560141028504619,0.4812428824998553,62,62
322,0.00500,0.3,490,0.1628589,0.4035578,0.36481774,-2.344823751025224,0.5737758811224305,0.49806351705967733,0.03537697,0.18808767,0.14665425,0.27342178301045794,0.5657224989867478,0.4827434259193255,21,53
96,0.00010,0.3,256,0.053224374,0.23070408,0.18589793,-0.08606015831368086,0.5830743465445019,0.5099385619912944,0.039666176,0.19916369,0.15562256,0.19059912112227828,0.548025044239285,0.4707094606010381,120,112
96,0.00050,0.3,256,0.043701056,0.20904797,0.1658523,0.10826615103874193,0.5921541004281469,0.5182139604219417,0.03371314,0.18361138,0.14161468,0.3120726994330222,0.5939920774779889,0.5144686344633101,39,34
96,0.00100,0.3,256,0.033408407,0.18277967,0.1414839,0.3182908927016378,0.6039537273723866,0.537944410066098,0.032607917,0.18057662,0.13882151,0.33462509993894307,0.5975364943477515,0.5307372220859896,43,33
96,0.00500,0.3,256,0.04493119,0.21196978,0.16752782,0.08316486842217286,0.5935725702698122,0.505964368345812,0.034778863,0.18649092,0.14470601,0.2903263085304929,0.5841838573316875,0.5009718704931172,15,24
168,0.00010,0.3,256,0.047894496,0.21884811,0.17407306,0.022697609604991342,0.5536214631193853,0.47916322192991645,0.044854462,0.21178871,0.16712824,0.08473049978966818,0.5044728585132641,0.43818187392929414,144,130
168,0.00050,0.3,256,0.045456633,0.2132056,0.1686664,0.07244299054569914,0.5624981859168687,0.4866841669578264,0.037085306,0.19257545,0.15094878,0.24326254897881006,0.5480293162152425,0.4734758579861966,52,43
168,0.00100,0.3,256,0.035696607,0.18893546,0.14711273,0.2715993948401133,0.569998353527761,0.48932506596978687,0.035696607,0.18893546,0.14711273,0.2715993948401133,0.569998353527761,0.48932506596978687,41,41
168,0.00500,0.3,256,0.034640193,0.18611877,0.1436456,0.2931559077982936,0.5859570936792499,0.5071296507748636,0.034640193,0.18611877,0.1436456,0.2931559077982936,0.5859570936792499,0.5071296507748636,20,20
322,0.00010,0.3,256,0.086444296,0.2940141,0.24615432,-0.763923202922792,0.539573848811357,0.466166877656001,0.073671594,0.27142513,0.22017515,-0.5032923525778288,0.539264793904119,0.4736476379223025,97,83
322,0.00050,0.3,256,0.04459262,0.21116965,0.16424845,0.09007350059532337,0.5184730867206679,0.463030327006718,0.04459262,0.21116965,0.16424845,0.09007350059532337,0.5184730867206679,0.463030327006718,23,23
322,0.00100,0.3,256,0.03297497,0.18159011,0.14022975,0.32713532390199873,0.5808207702345034,0.4975987284402129,0.03297497,0.18159011,0.14022975,0.32713532390199873,0.5808207702345034,0.4975987284402129,63,63
322,0.00500,0.3,256,0.039857876,0.19964437,0.15689048,0.18668738709937005,0.5744902671489109,0.4931992591493837,0.03911158,0.19776648,0.15270513,0.20191583012983505,0.5240255074167269,0.4595897225649152,7,16
96,0.00010,0.3,41,0.041237533,0.20307027,0.15951137,0.17332169615436155,0.598912863830295,0.5200900147884046,0.038066152,0.1951055,0.15232536,0.23689749213880573,0.5299526918529156,0.45564814432786005,149,154
96,0.00050,0.3,41,0.031406045,0.17721751,0.1357069,0.3704110335242359,0.6235594016627342,0.5533566110773249,0.031406045,0.17721751,0.1357069,0.3704110335242359,0.6235594016627342,0.5533566110773249,33,33
96,0.00100,0.3,41,0.03432671,0.18527469,0.14242047,0.31186117410116165,0.6237003682457597,0.5497256812691506,0.033839907,0.18395627,0.14131074,0.3216199710322314,0.5916798910165508,0.5085336485974753,33,25
96,0.00500,0.3,41,0.073266715,0.27067825,0.2275761,-0.4687591808009117,0.6101521140529225,0.5289184202474446,0.03610982,0.19002584,0.14680502,0.2761155984204693,0.5568159041731697,0.4901055656637368,35,20
