batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
96,0.00010,0.3,995,0.04738722,0.21768606,0.16743019,0.3691936216682524,0.6247270899039108,0.5458532990338862,0.04604166,0.2145732,0.16448522,0.3871054081405989,0.628392335529493,0.5469845020351433,13,17
96,0.00050,0.3,995,0.04545042,0.21319103,0.16245407,0.39497586452719546,0.6400552869087814,0.5615393767995479,0.045973774,0.21441495,0.16332455,0.38800907911007954,0.6293378244793649,0.5554990530094244,7,4
96,0.00100,0.3,995,0.04905605,0.221486,0.16988651,0.3469786393904848,0.6273331105203634,0.551728698675233,0.04804512,0.21919197,0.16788176,0.36043589288514455,0.601830756092827,0.5300958350924931,7,2
96,0.00500,0.3,995,0.044170696,0.21016826,0.1598697,0.41201121814674946,0.6421272586492075,0.564444461763062,0.044170696,0.21016826,0.1598697,0.41201121814674946,0.6421272586492075,0.564444461763062,5,5
168,0.00010,0.3,995,0.047355864,0.21761402,0.1663064,0.3696110533707442,0.6179171104242943,0.5420504111105637,0.047355864,0.21761402,0.1663064,0.3696110533707442,0.6179171104242943,0.5420504111105637,28,28
168,0.00050,0.3,995,0.046493415,0.21562332,0.16731921,0.3810917636547907,0.6187896791032046,0.531821076590291,0.046493415,0.21562332,0.16731921,0.3810917636547907,0.6187896791032046,0.531821076590291,6,6
168,0.00100,0.3,995,0.049237408,0.22189504,0.16836192,0.34456448039290755,0.6278465525707938,0.5531611386035715,0.047541216,0.21803948,0.16535288,0.36714368209485015,0.6139762256115612,0.5452093937253507,7,5
168,0.00500,0.3,995,0.04680406,0.21634246,0.16526301,0.3769565536847761,0.6329885871569284,0.5595217576574815,0.04651703,0.21567807,0.1662906,0.3807774101350434,0.623715851269868,0.5484036781502873,5,6
322,0.00010,0.3,995,0.04765683,0.21830444,0.16693294,0.36560466442321715,0.6256460152942057,0.5474828860310076,0.0469402,0.21665688,0.16634728,0.37514426373812026,0.6208179467267949,0.5389487432441906,37,39
322,0.00050,0.3,995,0.046396386,0.2153982,0.16479866,0.38238341635493445,0.6370300815700307,0.5554290006384138,0.046037454,0.2145634,0.163579,0.3871613550768914,0.6283313392502878,0.555536394077679,6,3
322,0.00100,0.3,995,0.056754176,0.23823135,0.18137383,0.24450316530474214,0.6081851832128329,0.5321975300717711,0.049900405,0.223384,0.17225063,0.3357387477764069,0.6025174633576997,0.5194272034576696,7,2
322,0.00500,0.3,995,0.045808583,0.2140294,0.16309604,0.3902080275969071,0.6364071615866057,0.5627098247432535,0.04482586,0.21172118,0.16226771,0.40328978838110296,0.6372099343522363,0.5535167708894664,13,8
96,0.00010,0.3,582,0.04665258,0.2159921,0.16534433,0.34845698497152533,0.6190103681109009,0.5473616276880026,0.04560718,0.21355838,0.16388601,0.363056854501714,0.6155699920479235,0.5447547679847267,15,18
96,0.00050,0.3,582,0.046394225,0.21539319,0.16568798,0.35206511264955254,0.6212899437336967,0.5475630959464302,0.04459423,0.21117346,0.16117463,0.37720361095925037,0.6204531543004591,0.5345939705162776,2,9
96,0.00100,0.3,582,0.04924599,0.22191438,0.16937713,0.31223770787647165,0.6085310478048753,0.5402026539665048,0.046825632,0.21639231,0.16529028,0.3460401431054534,0.5985544674497096,0.528907749725424,3,1
96,0.00500,0.3,582,0.042276915,0.20561351,0.15802445,0.4095668803217537,0.6423191400715813,0.572099788729703,0.042276915,0.20561351,0.15802445,0.4095668803217537,0.6423191400715813,0.572099788729703,28,28
168,0.00010,0.3,582,0.046022285,0.21452805,0.16423151,0.3572595279419438,0.6141777903437501,0.5486584616719232,0.046022285,0.21452805,0.16423151,0.3572595279419438,0.6141777903437501,0.5486584616719232,24,24
168,0.00050,0.3,582,0.045749504,0.21389134,0.16402692,0.3610691483341617,0.6176385709280952,0.5491623259837664,0.045749504,0.21389134,0.16402692,0.3610691483341617,0.6176385709280952,0.5491623259837664,3,3
168,0.00100,0.3,582,0.04903461,0.2214376,0.16930504,0.3151899036744279,0.6155357863284506,0.5494659040662163,0.046398457,0.215403,0.1654135,0.3520059681961728,0.608219472912086,0.5379823796819916,4,14
168,0.00500,0.3,582,0.042923592,0.2071801,0.1587226,0.40053541357579237,0.6351906661923665,0.5628723966309098,0.042483397,0.206115,0.15795676,0.406683127633114,0.6380898518364698,0.5715251138602823,11,9
322,0.00010,0.3,582,0.046532024,0.21571283,0.16485186,0.35014063943833995,0.6137710179963805,0.5454755847103776,0.046216752,0.21498083,0.16363055,0.35454361697913195,0.6131930385727685,0.5460156790924272,35,41
322,0.00050,0.3,582,0.047471866,0.2178804,0.16614729,0.3370149121715422,0.6220118655023319,0.5520406395351153,0.04561012,0.21356526,0.16437869,0.36301577886171754,0.6151193642518906,0.5336248335924559,3,6
322,0.00100,0.3,582,0.050345812,0.22437872,0.17318007,0.2968778049211457,0.6025568362169578,0.5290487863700232,0.04794627,0.21896636,0.16822329,0.3303894241494013,0.5952973763136479,0.5299539389147829,8,3
322,0.00500,0.3,582,0.046291616,0.21515487,0.16444369,0.3534981291762329,0.620909816821003,0.5544058504922286,0.04364085,0.20890392,0.15949447,0.39051836128371287,0.6326477642265985,0.5636144977715173,24,15
96,0.00010,0.3,566,0.048200447,0.219546,0.16671579,0.3751196525207604,0.6221161221565794,0.5443634652662994,0.047629654,0.2182422,0.16520855,0.38251948276799885,0.6210464285628776,0.5327547781422429,18,12
96,0.00050,0.3,566,0.05297727,0.23016793,0.177204,0.31319194005097206,0.6440550125655925,0.5752739689459645,0.04730278,0.21749201,0.16567834,0.3867571301770685,0.6228690540072944,0.534813430751431,2,4
96,0.00100,0.3,566,0.047145993,0.21713129,0.16545463,0.3887897564533671,0.6301343286201838,0.5430176271621971,0.047145993,0.21713129,0.16545463,0.3887897564533671,0.6301343286201838,0.5430176271621971,13,13
96,0.00500,0.3,566,0.044666536,0.21134458,0.16091874,0.4209339548835589,0.6523154215792668,0.574619871596623,0.044666536,0.21134458,0.16091874,0.4209339548835589,0.6523154215792668,0.574619871596623,13,13
168,0.00010,0.3,566,0.047423303,0.21776892,0.16525756,0.38519467060454715,0.6267585558631183,0.548947471609826,0.047423303,0.21776892,0.16525756,0.38519467060454715,0.6267585558631183,0.548947471609826,18,18
168,0.00050,0.3,566,0.046319503,0.21521966,0.16431707,0.3995045489177471,0.6371724165646416,0.5679019300827889,0.046319503,0.21521966,0.16431707,0.3995045489177471,0.6371724165646416,0.5679019300827889,2,2
168,0.00100,0.3,566,0.050699905,0.2251664,0.17122959,0.3427161396135293,0.6475868868238608,0.5618446893748038,0.04692089,0.21661231,0.16625829,0.391708045124204,0.6321640027712352,0.5495386124049869,6,11
168,0.00500,0.3,566,0.046007197,0.21449289,0.16282111,0.4035533328146472,0.6390390556272435,0.5602591100411293,0.046007197,0.21449289,0.16282111,0.4035533328146472,0.6390390556272435,0.5602591100411293,6,6
322,0.00010,0.3,566,0.047735162,0.21848378,0.166035,0.381151661683483,0.6265125493117993,0.5422851613485068,0.047735162,0.21848378,0.166035,0.381151661683483,0.6265125493117993,0.5422851613485068,30,30
322,0.00050,0.3,566,0.04621723,0.21498193,0.16451336,0.40083046556083657,0.6399448399872771,0.5676710683378979,0.04621723,0.21498193,0.16451336,0.40083046556083657,0.6399448399872771,0.5676710683378979,2,2
322,0.00100,0.3,566,0.04782145,0.21868116,0.16599317,0.38003302171605347,0.6290045779007201,0.5470959199584746,0.04782145,0.21868116,0.16599317,0.38003302171605347,0.6290045779007201,0.5470959199584746,7,7
322,0.00500,0.3,566,0.045178488,0.21255232,0.16175158,0.4142968894178871,0.6508042395361617,0.577263822851301,0.045178488,0.21255232,0.16175158,0.4142968894178871,0.6508042395361617,0.577263822851301,15,15
96,0.00010,0.3,473,0.044189338,0.2102126,0.15982985,0.38899574475123777,0.632752151621241,0.5523376595896552,0.044189338,0.2102126,0.15982985,0.38899574475123777,0.632752151621241,0.5523376595896552,14,14
96,0.00050,0.3,473,0.044956423,0.2120293,0.16155525,0.37838934107263966,0.6252945250407778,0.543532416288313,0.044956423,0.2120293,0.16155525,0.37838934107263966,0.6252945250407778,0.543532416288313,2,2
96,0.00100,0.3,473,0.046235826,0.21502517,0.1633539,0.3606991045661364,0.629364018772281,0.5318269497022018,0.044922557,0.21194942,0.16076103,0.37885763392731686,0.6244460684414866,0.5363777080641499,5,12
96,0.00500,0.3,473,0.042807758,0.20690036,0.1565969,0.4080988501287075,0.6406337204741861,0.5546175750423056,0.042807758,0.20690036,0.1565969,0.4080988501287075,0.6406337204741861,0.5546175750423056,2,2
168,0.00010,0.3,473,0.046017792,0.21451758,0.1631104,0.36371390401279136,0.6176210072819118,0.5399977141792589,0.045624614,0.21359919,0.16232896,0.3691503145409659,0.6165213588989027,0.5360243032382096,25,29
168,0.00050,0.3,473,0.044862453,0.21180758,0.16113766,0.3796886779055506,0.6314290936662822,0.5461050857889309,0.044751942,0.21154656,0.16029412,0.3812167247254117,0.6182432756614181,0.5340691294698164,5,3
168,0.00100,0.3,473,0.047575776,0.21811871,0.16608979,0.3421716552468259,0.6234273207078002,0.5432887598531678,0.047119837,0.21707104,0.16461222,0.3484758913833773,0.5977291356702114,0.5074351394524815,10,4
168,0.00500,0.3,473,0.04327845,0.20803472,0.1575996,0.4015906321926268,0.6420207445009758,0.5570969316375167,0.04266684,0.20655954,0.155897,0.4100473147018009,0.64059544745356,0.5557466477200464,5,8
322,0.00010,0.3,473,0.046496827,0.21563123,0.16441576,0.35709028356167627,0.62019671202603,0.5409646989247485,0.045700632,0.21377707,0.16284171,0.36809923279954937,0.6172167861111514,0.5396207483030662,31,42
322,0.00050,0.3,473,0.048955917,0.22125985,0.17045967,0.3230884824520972,0.6303246076700291,0.5477269522605024,0.046152733,0.21483187,0.16222331,0.36184806223186805,0.6167087134237573,0.535897474011813,1,5
322,0.00100,0.3,473,0.053430695,0.2311508,0.17769973,0.26121596724535423,0.622010324329332,0.541127736365686,0.047464028,0.21786241,0.1647846,0.3437167788364348,0.5966190052914204,0.5119889260428987,1,4
322,0.00500,0.3,473,0.04307187,0.20753764,0.15694061,0.4044469469369363,0.6432039672645566,0.5557715437892253,0.04307187,0.20753764,0.15694061,0.4044469469369363,0.6432039672645566,0.5557715437892253,10,10
96,0.00010,0.3,742,0.045202505,0.21260881,0.16212416,0.3849020837989727,0.6330884199804283,0.5538138509834512,0.04544589,0.21318041,0.16327792,0.3815902325453365,0.6228121916176941,0.5391004453062173,16,23
96,0.00050,0.3,742,0.045966994,0.21439914,0.16526115,0.37449923195219215,0.6326502018909429,0.5438828497883452,0.045304816,0.21284927,0.16228384,0.38350992817953145,0.6207189950066687,0.5311466654220252,5,11
96,0.00100,0.3,742,0.05217334,0.22841483,0.17507637,0.29004576717799324,0.6237920105922371,0.5521448721255249,0.04540508,0.21308467,0.16370414,0.3821455610966622,0.6217312612324598,0.5363151927108621,0,7
96,0.00500,0.3,742,0.042801492,0.20688522,0.1580308,0.417574151793748,0.6513670617231149,0.5656669837726173,0.042801492,0.20688522,0.1580308,0.417574151793748,0.6513670617231149,0.5656669837726173,13,13
168,0.00010,0.3,742,0.04614557,0.2148152,0.1645193,0.3720692858776675,0.6230913357345597,0.5342423624320064,0.04593772,0.21433087,0.1632218,0.3748975203778513,0.6218032069449805,0.5403932973040522,28,19
168,0.00050,0.3,742,0.046295833,0.21516466,0.16426247,0.37002451795705704,0.6333294756230424,0.5488896194088705,0.04572153,0.21382594,0.16304521,0.37783941290799794,0.6174645955551796,0.537412138725453,11,6
168,0.00100,0.3,742,0.053344924,0.2309652,0.17857492,0.27410322890119165,0.6268007990956789,0.5408015490056428,0.047702465,0.21840894,0.1684303,0.3508835876391866,0.6008515649912625,0.5047642897505649,0,1
168,0.00500,0.3,742,0.047066353,0.21694781,0.1659065,0.359539589529872,0.6337514405950575,0.5587426079018574,0.04374673,0.20915718,0.16014665,0.40471177741501707,0.6381961051755565,0.5480740729659765,8,10
322,0.00010,0.3,742,0.04647178,0.21557313,0.16527626,0.36763031441298444,0.6239975945834073,0.5425258403871285,0.046187434,0.21491262,0.1645285,0.37149957389839094,0.6208986122300014,0.5425786486118844,23,24
322,0.00050,0.3,742,0.04509919,0.2123657,0.16241398,0.3863079962587176,0.626213088495917,0.5424681134159712,0.04509919,0.2123657,0.16241398,0.3863079962587176,0.626213088495917,0.5424681134159712,5,5
322,0.00100,0.3,742,0.05401332,0.23240766,0.1780329,0.2650080304942758,0.6199485414849624,0.5396486123337316,0.046162426,0.21485443,0.16537882,0.37183987421686193,0.6138716152920208,0.5295078656413154,4,7
322,0.00500,0.3,742,0.04491688,0.21193603,0.16085675,0.38878879160844104,0.6382998790264772,0.5605511451092963,0.043528162,0.20863403,0.15856908,0.4076859181335061,0.6401256038468138,0.5633483910192846,21,16
