batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
24,0.00050,0.3,21,0.059624888,0.24418208,0.1839828,0.24884063896988307,0.5879131,0.5601735124532132,0.055216774,0.23498249,0.17608586,0.3043744512321015,0.5641841,0.5393285495903677,40,26
24,0.00100,0.3,21,0.051596794,0.22714928,0.16982672,0.34997923635432704,0.61055636,0.5758852982400097,0.050161686,0.22396804,0.166993,0.36805889478193043,0.6087387,0.5796888367571049,58,60
24,0.00500,0.3,21,0.054327913,0.23308349,0.17513883,0.3155723534232252,0.6049501,0.5807628679982844,0.05096141,0.22574633,0.16795841,0.3579839075698005,0.5989306,0.5760320732808564,23,24
24,0.00800,0.3,21,0.053372934,0.23102583,0.17369297,0.32760330177665276,0.6045427,0.580621737028588,0.05079439,0.2253761,0.16897659,0.36008803272194767,0.60359013,0.5762319366240304,1,4
96,0.00050,0.3,21,0.06176,0.24851559,0.18988214,0.2219422985972891,0.58109623,0.5576889128724299,0.053323884,0.23091964,0.1739898,0.32822124084202775,0.5790838,0.5392035001652455,32,31
96,0.00100,0.3,21,0.08307203,0.2882222,0.22703007,-0.046548371054067506,0.59362936,0.5643035851122381,0.05238837,0.22888505,0.17223273,0.3400069703624321,0.5872732,0.5580245382300271,29,16
96,0.00500,0.3,21,0.058816142,0.24252039,0.18372867,0.25902930766826615,0.606385,0.5825944686699279,0.052169822,0.22840714,0.17078023,0.34276023196193495,0.59667385,0.5702507665802927,46,32
96,0.00800,0.3,21,0.051182054,0.22623451,0.16903432,0.3552042250819446,0.61029077,0.5807059284186917,0.050864957,0.2255326,0.16860388,0.35919906576172655,0.60106057,0.5676239335970207,18,8
168,0.00050,0.3,21,0.052068118,0.2281844,0.17229822,0.3440415015672452,0.5974562,0.5724234265322514,0.052068118,0.2281844,0.17229822,0.3440415015672452,0.5974562,0.5724234265322514,39,39
168,0.00100,0.3,21,0.056742463,0.23820676,0.181321,0.2851536949330141,0.5917931,0.5596401532090863,0.053687744,0.23170616,0.17518742,0.32363732242149545,0.579041,0.5457105982226856,21,11
168,0.00500,0.3,21,0.073055945,0.27028865,0.21405627,0.07963506639383156,0.57418996,0.5484165630725338,0.056292895,0.23726124,0.17824318,0.2908174076315123,0.5562069,0.5248699194530804,17,9
168,0.00800,0.3,21,0.05450184,0.23345628,0.17421441,0.3133812034751636,0.60561144,0.5718370533084725,0.052588325,0.22932145,0.17299543,0.3374879389859379,0.58761805,0.5531895013088071,40,30
24,0.00050,0.3,314,0.06953566,0.26369613,0.20495483,0.09485799899261926,0.5879579,0.5624630155880747,0.051136304,0.22613338,0.17029889,0.3343614163188312,0.58679277,0.559970060820981,48,34
24,0.00100,0.3,314,0.04867925,0.22063375,0.16662477,0.3663448196407775,0.60933656,0.5802036106986342,0.04867925,0.22063375,0.16662477,0.3663448196407775,0.60933656,0.5802036106986342,33,33
24,0.00500,0.3,314,0.048241626,0.21963976,0.16641483,0.37204138392067554,0.6158307,0.5849970113262403,0.048241626,0.21963976,0.16641483,0.37204138392067554,0.6158307,0.5849970113262403,29,29
