batch,lr,drop_out,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00006,0.1,44,0.09531769,0.30873564,0.2444607,-0.16815246964948138,0.5728991462450375,0.5529181596657857
24,0.00010,0.1,44,0.07748655,0.27836406,0.2153998,0.050374589933095404,0.5707006127277441,0.5472649583973472
24,0.00040,0.1,44,0.061189428,0.24736497,0.18872206,0.25010163529441287,0.5619946631610484,0.5298181886147653
24,0.00006,0.3,44,0.066706724,0.25827646,0.19878767,0.18248521823198027,0.5837005868353708,0.5311064646427506
24,0.00010,0.3,44,0.094136685,0.30681702,0.24513957,-0.15367878902941778,0.583414451375003,0.5371638517383673
24,0.00040,0.3,44,0.05941234,0.24374647,0.18534501,0.27188047018904493,0.5993361832716116,0.5597704816579402
48,0.00006,0.1,44,0.07119774,0.26682904,0.2038267,0.12744615225300604,0.5557164288188974,0.5306200517263863
48,0.00010,0.1,44,0.07553371,0.27483398,0.21309648,0.07430739913971107,0.5690063879045886,0.5388215205958661
48,0.00040,0.1,44,0.06245249,0.24990496,0.19173291,0.23462233300065127,0.542920704482617,0.5026233405778315
48,0.00006,0.3,44,0.071520075,0.26743236,0.2064576,0.12349592732197723,0.5997397745400322,0.5594582041654916
48,0.00010,0.3,44,0.07045573,0.26543498,0.20658328,0.13653980863109372,0.6078367496237804,0.572065021674613
48,0.00040,0.3,44,0.05719455,0.23915382,0.18111193,0.2990602758163138,0.5965297908430696,0.5622612049918723
96,0.00006,0.1,44,0.06301257,0.25102305,0.19224562,0.22775834241774007,0.5303105532646732,0.5041494813350487
96,0.00010,0.1,44,0.061997995,0.24899396,0.18923539,0.2401923887167997,0.5689474374096126,0.5473419872772425
96,0.00040,0.1,44,0.06609467,0.25708884,0.1957636,0.18998620076032013,0.5244360912482136,0.5052736231625987
96,0.00006,0.3,44,0.07414047,0.27228746,0.2098448,0.09138196670593646,0.5861739382047094,0.557420513184543
96,0.00010,0.3,44,0.06036964,0.24570234,0.18589899,0.26014837663224766,0.5796778017148984,0.5556044492389554
96,0.00040,0.3,44,0.06241837,0.24983668,0.19244672,0.23504046980116333,0.5449353572974046,0.5070311320238224
168,0.00006,0.1,44,0.062177315,0.2493538,0.1907745,0.23799472690379575,0.546863876607049,0.5172588601545475
168,0.00010,0.1,44,0.06392403,0.25283203,0.19108978,0.21658807781178246,0.5521704367444904,0.5300359055044059
168,0.00040,0.1,44,0.06239196,0.24978383,0.1889961,0.23536417294841838,0.5497805264652883,0.5376500512933369
168,0.00006,0.3,44,0.057372347,0.23952526,0.18161032,0.29688137488544053,0.6104323831187246,0.5845059672613714
168,0.00010,0.3,44,0.057261202,0.23929313,0.17997657,0.2982433897353407,0.5816440769517839,0.5516722648222696
168,0.00040,0.3,44,0.059113313,0.2431323,0.18429229,0.2755451625664994,0.5554708082941848,0.5265778961120545
288,0.00006,0.1,44,0.059217356,0.24334617,0.18766032,0.27427012192298805,0.5808311726580702,0.553064611571625
288,0.00010,0.1,44,0.056896754,0.2385304,0.18215738,0.3027098790461946,0.5933056187462822,0.5629087928664982
288,0.00040,0.1,44,0.06318621,0.25136867,0.1945309,0.2256303243047334,0.552650083651475,0.5204717698740048
288,0.00006,0.3,44,0.10124055,0.3181832,0.24700907,-0.24073923733055858,0.5012048390697926,0.4907571909027371
288,0.00010,0.3,44,0.05841388,0.24168964,0.18288599,0.2841169473546753,0.5731232727269113,0.548429776115438
288,0.00040,0.3,44,0.06105331,0.24708968,0.18895662,0.25176985009271236,0.5318051344297321,0.4996096919562912
24,0.00006,0.1,234,0.09275307,0.3045539,0.24195832,-0.20228249564564194,0.542220300295382,0.515994111309412
24,0.00010,0.1,234,0.0710247,0.2665046,0.20466593,0.07936453078632555,0.5597965721541188,0.5353659849982857
24,0.00040,0.1,234,0.067656666,0.26010895,0.20044509,0.12302177659043123,0.568531549392493,0.5480827526721133
24,0.00006,0.3,234,0.110521324,0.33244747,0.27134466,-0.4325980541618841,0.5670692046372947,0.5293930318220013
24,0.00010,0.3,234,0.07596812,0.27562314,0.21682239,0.01528713672282156,0.5956112982077288,0.5538717684103132
24,0.00040,0.3,234,0.057865243,0.24055195,0.18397391,0.2499399637709917,0.5966123349092247,0.5575264480277596
48,0.00006,0.1,234,0.06130315,0.24759473,0.18868743,0.20537719957073242,0.5627914608700462,0.5314808950056487
48,0.00010,0.1,234,0.07189236,0.2681275,0.20574686,0.06811791276173551,0.5552716488063636,0.5218347696115456
48,0.00040,0.1,234,0.059374545,0.24366893,0.18568441,0.2303761222260955,0.5823013857076087,0.5583895160417769
48,0.00006,0.3,234,0.06707753,0.2589933,0.20015286,0.13052853547053145,0.5891717283738163,0.5533533624040657
48,0.00010,0.3,234,0.06714377,0.25912115,0.20083639,0.12966995867658837,0.6012522058112595,0.5639237698708229
48,0.00040,0.3,234,0.057949983,0.24072802,0.1840961,0.24884156025277315,0.5797098400942582,0.5418043648545704
96,0.00006,0.1,234,0.06169974,0.24839433,0.18906467,0.20023644571482224,0.5542934549568799,0.5330134637462146
