batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
96,0.00010,0.3,930,0.04444313,0.2108154,0.16694349,0.07125050168926628,0.5233998467002914,0.4683842276661545,0.03872734,0.19679263,0.15281336,0.19069620364233475,0.49516388221056756,0.44244174871505804,28,15
96,0.00050,0.3,930,0.03805855,0.195086,0.15182784,0.20467226966180796,0.5314360395186987,0.48160214184986344,0.03733662,0.19322686,0.15039352,0.21975866288840096,0.50920900164887,0.4696372314978478,20,17
96,0.00100,0.3,930,0.044220716,0.21028723,0.16518332,0.07589841799858488,0.5644082475909462,0.5060608284757632,0.036075566,0.18993568,0.14760435,0.24611155517662409,0.5648208498471269,0.49681490026741776,27,30
96,0.00500,0.3,930,0.07646955,0.27653128,0.23053892,-0.5980209805734416,0.5739591897614577,0.5060707411174241,0.03404657,0.18451713,0.14285165,0.28851243042537666,0.5657254250827269,0.5027535816670999,58,52
168,0.00010,0.3,930,0.03916483,0.19790106,0.15481167,0.181553777645325,0.5045067067375267,0.45940545259293414,0.037755296,0.19430722,0.15229511,0.21100944333587512,0.5111634291790538,0.4675595524726621,20,26
168,0.00050,0.3,930,0.06131142,0.24761143,0.20091192,-0.28125429220591447,0.5411623323312297,0.48284310314899526,0.036087498,0.1899671,0.1469588,0.2458621850744438,0.5356654055708627,0.48619060454973606,64,42
168,0.00100,0.3,930,0.03981997,0.19954942,0.15727694,0.16786291223262606,0.541699661675424,0.4907058640054914,0.035464317,0.18831971,0.14597155,0.2588851112834468,0.5396556817820801,0.49181527933433905,20,18
168,0.00500,0.3,930,0.044258345,0.21037668,0.16555564,0.07511207478884674,0.5307968454798094,0.4719902854403991,0.03810083,0.19519435,0.15174025,0.20378862078314375,0.5111191016149198,0.466203903421659,40,31
322,0.00010,0.3,930,0.040493816,0.20123075,0.15802048,0.1537812891103303,0.5030029824395004,0.45092736185791776,0.037683018,0.19412114,0.15024702,0.21251989503100643,0.514482723275268,0.4684840524709286,37,36
322,0.00050,0.3,930,0.04703709,0.21688037,0.17054525,0.0170433383581019,0.5480797067771079,0.47431207533743636,0.035553876,0.18855736,0.1463914,0.2570135280256881,0.5422183605684163,0.4735220794521942,77,85
