batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
96,0.00010,0.3,995,0.08059882,0.2838993,0.21215793,-0.07291043625794402,-0.01886468084016763,-0.02476346358770094,0.075128265,0.27409536,0.20973432,-8.785613591810737e-05,,,2,20
96,0.00050,0.3,995,0.045571838,0.21347561,0.16392384,0.3933595341220385,0.6421097416499736,0.5569744516951524,0.04488918,0.21187067,0.16187951,0.40244687819595815,0.6360524219734198,0.552332110063505,13,14
96,0.00100,0.3,995,0.045300964,0.21284023,0.16309088,0.3969653737813713,0.6305915984493712,0.5500630078847365,0.045300964,0.21284023,0.16309088,0.3969653737813713,0.6305915984493712,0.5500630078847365,3,3
96,0.00500,0.3,995,0.04698398,0.21675788,0.16533455,0.37456149157097196,0.6251099162873112,0.5543880129690358,0.046228424,0.21500796,0.1645966,0.38461926975747507,0.6219119862271432,0.5517478764152481,12,23
168,0.00010,0.3,995,0.04507318,0.21230446,0.16179095,0.3999975214475425,0.6346834858519995,0.5609319911492592,0.04436854,0.2106384,0.16062924,0.40937757496106897,0.6398724604799645,0.5638602085484911,76,85
168,0.00050,0.3,995,0.044883735,0.21185783,0.16172698,0.40251942342911506,0.6352616516922834,0.5590938303630529,0.044883735,0.21185783,0.16172698,0.40251942342911506,0.6352616516922834,0.5590938303630529,5,5
168,0.00100,0.3,995,0.04638049,0.2153613,0.16541725,0.38259497040932133,0.6267795075629696,0.551847346417622,0.047345553,0.21759033,0.16523391,0.36974834701077985,0.6088340358507188,0.525430746535368,8,4
168,0.00500,0.3,995,0.044728123,0.21149024,0.16204393,0.4045908679636352,0.6376695673637668,0.5701426236628949,0.045157336,0.21250255,0.16242316,0.3988773003807631,0.6317202493409865,0.5632872110187275,43,37
322,0.00010,0.3,995,0.045231808,0.2126777,0.1617846,0.3978859542154384,0.6355963185800015,0.5665074535074999,0.045567084,0.21346448,0.1623004,0.3934228196486059,0.6301530295305827,0.5580727521562902,186,179
322,0.00050,0.3,995,0.044491075,0.21092908,0.16045007,0.4077464100676961,0.6412227366843115,0.5724750340753032,0.044491075,0.21092908,0.16045007,0.4077464100676961,0.6412227366843115,0.5724750340753032,4,4
322,0.00100,0.3,995,0.044706367,0.2114388,0.16167295,0.40488042610384256,0.6386771339196491,0.5644719459112231,0.045489136,0.21328183,0.16222762,0.3944604286994453,0.6296096628873444,0.5573443539309606,28,19
322,0.00500,0.3,995,0.054505568,0.23346427,0.1766154,0.2744360843917347,0.5561565654222076,0.532550615401241,0.052592,0.22932947,0.17403173,0.29990894989884975,0.5485314647089908,0.5252958478112941,38,58
96,0.00010,0.3,582,0.043144625,0.20771284,0.15900546,0.3974485158321618,0.6341043603419694,0.5650652832966224,0.043144625,0.20771284,0.15900546,0.3974485158321618,0.6341043603419694,0.5650652832966224,38,38
96,0.00050,0.3,582,0.04344062,0.20842414,0.16013396,0.39331472184835636,0.6319254980044479,0.5639827754000568,0.04344062,0.20842414,0.16013396,0.39331472184835636,0.6319254980044479,0.5639827754000568,4,4
96,0.00100,0.3,582,0.044863548,0.21181017,0.16070816,0.37344228200931096,0.6157675341857258,0.5407464006786373,0.04369755,0.2090396,0.1595418,0.3897264134047579,0.624672863286644,0.5556000980764761,12,14
96,0.00500,0.3,582,0.043715585,0.20908272,0.15861328,0.3894745777732327,0.6303565419494802,0.5622979325824309,0.044029962,0.20983317,0.16069038,0.3850840715446088,0.620895713313089,0.5547221551108944,16,11
168,0.00010,0.3,582,0.04485552,0.21179122,0.16258888,0.37355442856132814,0.6275321304709806,0.5658202368022328,0.042957906,0.20726289,0.15816808,0.4000562443824135,0.63266750271157,0.574617278137541,77,76
168,0.00050,0.3,582,0.043912485,0.20955306,0.16056004,0.38672471031569655,0.6300572789418649,0.5601592047040559,0.04315694,0.20774248,0.15944019,0.3972765221495237,0.6310144987958799,0.5589360657075211,11,9
168,0.00100,0.3,582,0.044485558,0.210916,0.16100551,0.3787212912644967,0.6249332629450254,0.5525195391751926,0.044485558,0.210916,0.16100551,0.3787212912644967,0.6249332629450254,0.5525195391751926,3,3
168,0.00500,0.3,582,0.044281434,0.21043155,0.1614451,0.3815720346767637,0.6254504932259006,0.5545686748399561,0.042916596,0.20716321,0.15865071,0.4006332034733956,0.6341600974935767,0.5684246674874465,39,38
322,0.00010,0.3,582,0.04303401,0.2074464,0.15901439,0.39899337071024876,0.6346900858033412,0.5578348632962871,0.04303401,0.2074464,0.15901439,0.39899337071024876,0.6346900858033412,0.5578348632962871,181,181
322,0.00050,0.3,582,0.045300256,0.21283858,0.16360053,0.3673433119388404,0.6256818004025888,0.5496999215309387,0.04379377,0.20926961,0.15954186,0.3883826884929379,0.6320483881019651,0.569913797621601,5,3
322,0.00100,0.3,582,0.043894324,0.20950973,0.16053687,0.3869783681010953,0.6261086550250015,0.5431145172294637,0.043894324,0.20950973,0.16053687,0.3869783681010953,0.6261086550250015,0.5431145172294637,28,28
322,0.00500,0.3,582,0.050200727,0.22405519,0.17358196,0.2989040575091825,0.556536431051062,0.5237346430637578,0.050200727,0.22405519,0.17358196,0.2989040575091825,0.556536431051062,0.5237346430637578,49,49
96,0.00010,0.3,566,0.044833586,0.21173944,0.16154006,0.41876829886319245,0.6488243146092258,0.5661692424698799,0.044833586,0.21173944,0.16154006,0.41876829886319245,0.6488243146092258,0.5661692424698799,38,38
96,0.00050,0.3,566,0.045236573,0.21268891,0.16210997,0.41354388783917717,0.645194256431269,0.5578246570484778,0.045236573,0.21268891,0.16210997,0.41354388783917717,0.645194256431269,0.5578246570484778,4,4
96,0.00100,0.3,566,0.04683617,0.21641666,0.16418244,0.3928063610877379,0.6403182798148617,0.5523986657526303,0.04517734,0.21254961,0.16148861,0.41431183837977303,0.6439872804315999,0.5642665192553168,10,11
96,0.00500,0.3,566,0.046072483,0.21464501,0.16399878,0.40270698640678737,0.6350218035711701,0.5631248121616512,0.046072483,0.21464501,0.16399878,0.40270698640678737,0.6350218035711701,0.5631248121616512,13,13
168,0.00010,0.3,566,0.046635836,0.21595332,0.16470365,0.3954035718278154,0.6339158933293426,0.5552724804453945,0.04539687,0.2130654,0.1617555,0.41146575692793164,0.6422613516629043,0.5598559318970164,69,70
168,0.00050,0.3,566,0.048594363,0.2204413,0.16857594,0.3700128122727606,0.648036293623896,0.5690442873826955,0.04533153,0.21291202,0.16246708,0.41231283152246523,0.6476504659270677,0.5643506607470519,6,10
168,0.00100,0.3,566,0.048541386,0.2203211,0.16671388,0.3706996505820155,0.6373287692685956,0.5508497940491527,0.046488836,0.2156127,0.16242102,0.3973092704491177,0.6307315747452589,0.5534889491921815,6,16
168,0.00500,0.3,566,0.047923137,0.21891354,0.16700774,0.37871475501536267,0.6412414620203013,0.5625999181236943,0.04614265,0.2148084,0.16341092,0.40179736108725606,0.6342141098404317,0.5526999077810577,15,17
322,0.00010,0.3,566,0.0800688,0.2829643,0.20994668,-0.03802810450431515,,,0.0771357,0.27773315,0.21011162,-2.80336809566073e-06,,,32,146
322,0.00050,0.3,566,0.04557942,0.21349336,0.16299547,0.4090992051940696,0.6428294365051737,0.5656888803188647,0.04557942,0.21349336,0.16299547,0.4090992051940696,0.6428294365051737,0.5656888803188647,47,47
