batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
24,0.00001,0.3,404,0.056411017,0.23751004,0.18067549,0.25473522505213886,0.5278087,0.5162664954579321,0.055954773,0.23654762,0.17956594,0.2607628009901417,0.524532,0.5139156558582508,67,57
24,0.00005,0.3,404,0.08989271,0.29982114,0.23808247,-0.187602398426717,0.5332375,0.5168834017075762,0.05581255,0.2362468,0.18070066,0.2626418651635837,0.5297428,0.5107626705159513,21,20
24,0.00010,0.3,404,0.10238525,0.31997696,0.25931305,-0.3526456882900826,0.5540393,0.5284131872269108,0.05428809,0.23299804,0.17743854,0.28278198964512247,0.5525581,0.5269143054484665,21,20
24,0.00050,0.3,404,0.05567362,0.23595259,0.17992552,0.26447726738782107,0.5679541,0.5442572010895301,0.053328715,0.2309301,0.17515661,0.2954565303186475,0.5640087,0.5378968018406858,18,29
96,0.00001,0.3,404,0.05774295,0.24029763,0.18228179,0.23713860601442638,0.514732,0.5067198654184154,0.057252385,0.23927471,0.18237522,0.24361968232566011,0.5097664,0.5008151482512835,29,19
96,0.00005,0.3,404,0.07351232,0.27113158,0.21287465,0.02880416944454267,0.50544226,0.49078833987213855,0.059392355,0.24370547,0.18591405,0.2153478045392615,0.48894352,0.4829347528630484,4,2
96,0.00010,0.3,404,0.059263483,0.24344093,0.18709448,0.2170502804157226,0.5185507,0.5086377649020655,0.058115523,0.24107161,0.18378879,0.23221640227178952,0.505959,0.5005869780606581,25,19
96,0.00050,0.3,404,0.05536408,0.23529573,0.17789459,0.2685667446281458,0.5678975,0.5469413746715567,0.053481076,0.23125976,0.1753376,0.2934436854152136,0.5594767,0.535889609458738,44,42
168,0.00001,0.3,404,0.06004483,0.24504046,0.18793434,0.2067278278652802,0.50980514,0.4995342191376174,0.057862647,0.24054655,0.18395339,0.23555729851416507,0.50757253,0.49993625854153456,45,44
168,0.00005,0.3,404,0.05698515,0.23871563,0.18149638,0.2471501573216094,0.5169786,0.5092546117986285,0.05698515,0.23871563,0.18149638,0.2471501573216094,0.5169786,0.5092546117986285,35,35
168,0.00010,0.3,404,0.0907522,0.30125105,0.24312498,-0.19895762043882992,0.5504638,0.53505433133226,0.054051623,0.23249005,0.17757817,0.28590594443337114,0.54859495,0.5256947738385278,79,84
168,0.00050,0.3,404,0.080790885,0.28423738,0.22465657,-0.0673553310419217,0.560741,0.5360470628793349,0.054015834,0.23241307,0.17612527,0.28637884685351744,0.54643255,0.5285817176663063,19,11
24,0.00001,0.3,175,0.060231157,0.24542037,0.18831685,0.24864746687834927,0.5266691,0.5165348280374864,0.058848348,0.24258678,0.18441,0.2658972195750714,0.52660084,0.5169281754717899,43,44
24,0.00005,0.3,175,0.057554416,0.23990501,0.18062651,0.2820383123320531,0.5611061,0.5389136711952144,0.05616257,0.23698643,0.17888726,0.2994008831885667,0.5571684,0.5345714608383413,49,56
24,0.00010,0.3,175,0.06315455,0.2513057,0.19535552,0.21217956034851093,0.5801421,0.5502623372176981,0.055176876,0.23489758,0.17718174,0.31169690056754995,0.56461436,0.5375435276770087,43,39
24,0.00050,0.3,175,0.053879812,0.23212026,0.17494567,0.32787719026761797,0.58403766,0.5563776874563185,0.053879812,0.23212026,0.17494567,0.32787719026761797,0.58403766,0.5563776874563185,75,75
96,0.00001,0.3,175,0.05919376,0.24329768,0.18432385,0.2615883405227486,0.52327645,0.5139755096784977,0.05919376,0.24329768,0.18432385,0.2615883405227486,0.52327645,0.5139755096784977,57,57
96,0.00005,0.3,175,0.060044136,0.24503905,0.18455878,0.2509803773433156,0.53433263,0.5239160775831835,0.05942512,0.24377269,0.18419102,0.258702219916886,0.52151287,0.5145769673421874,48,41
96,0.00010,0.3,175,0.060456656,0.24587935,0.18649156,0.24583443957242468,0.5658579,0.5444856122910202,0.05580527,0.23623139,0.17814331,0.30385803235750386,0.5585517,0.5394172535219179,65,58
96,0.00050,0.3,175,0.05684509,0.23842208,0.18166888,0.29088681953219686,0.5826126,0.5522986403220929,0.05453231,0.23352155,0.17612956,0.3197375782952844,0.5790368,0.5508464266003817,75,48
168,0.00001,0.3,175,0.06180084,0.24859776,0.18833074,0.22906644509037677,0.521975,0.5137114742690216,0.05992026,0.24478614,0.18518093,0.2525256328931863,0.51385003,0.5004176088088094,69,61
168,0.00005,0.3,175,0.0673929,0.2596014,0.19793138,0.15930828381194373,0.51664877,0.5051432981598568,0.05990017,0.2447451,0.18596765,0.2527763450692414,0.51474804,0.5030671393550784,1,6
168,0.00010,0.3,175,0.06628136,0.25745168,0.1956665,0.1731742309917843,0.5094692,0.49660956497017417,0.060896914,0.246773,0.18737908,0.24034240114490713,0.50837255,0.5006021137124252,1,4
168,0.00050,0.3,175,0.055181805,0.23490807,0.17767803,0.3116354287757448,0.5725385,0.5415501201738585,0.055181805,0.23490807,0.17767803,0.3116354287757448,0.5725385,0.5415501201738585,54,54
24,0.00001,0.3,689,0.059231345,0.2433749,0.1862013,0.2415897181474006,0.5398678,0.5190067528362878,0.05640656,0.23750065,0.18125534,0.27775879851433494,0.53628653,0.5235249353755926,84,69
24,0.00005,0.3,689,0.052969854,0.2301518,0.1753854,0.32176317846160896,0.5851309,0.5508947157157501,0.052298512,0.22868869,0.17387085,0.33035910654154277,0.5813076,0.5455890857628715,88,84
24,0.00010,0.3,689,0.053270552,0.23080415,0.17419349,0.31791295651140394,0.57288134,0.5458645075853548,0.053270552,0.23080415,0.17419349,0.31791295651140394,0.57288134,0.5458645075853548,3,3
24,0.00050,0.3,689,0.10016919,0.31649515,0.2585545,-0.282586868695176,0.5725177,0.5428013276096739,0.05335385,0.23098452,0.17423744,0.31684640023959376,0.56899476,0.5470177370212459,24,27
96,0.00001,0.3,689,0.058034983,0.24090451,0.18466896,0.2569082368094484,0.5200138,0.5029256638693255,0.058034983,0.24090451,0.18466896,0.2569082368094484,0.5200138,0.5029256638693255,36,36
96,0.00005,0.3,689,0.056042556,0.2367331,0.18050134,0.28241971631065543,0.5817435,0.555009404082671,0.052550666,0.22923931,0.17308295,0.3271305294007013,0.578587,0.5482310921508086,139,134
96,0.00010,0.3,689,0.054297168,0.23301753,0.17778651,0.3047679745397235,0.57784855,0.5500886971774009,0.053273227,0.23080994,0.17523618,0.31787866857326463,0.5732199,0.5416567664031929,15,13
96,0.00050,0.3,689,0.053185828,0.23062053,0.17508985,0.31899780450674053,0.57611954,0.5470871636992296,0.053185828,0.23062053,0.17508985,0.31899780450674053,0.57611954,0.5470871636992296,2,2
168,0.00001,0.3,689,0.061472375,0.24793623,0.19195485,0.2128951018486045,0.5082589,0.49150746226937647,0.05950003,0.24392629,0.1860573,0.23814941786701538,0.50783545,0.4943241691815232,39,37
168,0.00005,0.3,689,0.06798703,0.26074323,0.2009268,0.12948006163917924,0.50979054,0.4905487980144116,0.06012785,0.24520981,0.18706602,0.23011069397488393,0.5007434,0.4923677631003301,14,7
168,0.00010,0.3,689,0.07165086,0.2676768,0.21024081,0.0825676550198956,0.5061779,0.4864540504437948,0.061582938,0.2481591,0.19017571,0.21147946813510365,0.5046577,0.49323949902027425,14,12
168,0.00050,0.3,689,0.053301387,0.23087093,0.17589065,0.3175181139973662,0.5797708,0.547508287394725,0.053159673,0.23056382,0.17462248,0.3193326986247983,0.57588315,0.5426734306628442,73,77
