batch,lr,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00006,44,0.0672008,0.25923118,0.1970463,0.17643003704465465,0.5787447066133464,0.5454918337234119
24,0.00010,44,0.05462923,0.23372896,0.17680272,0.3304992058850833,0.5829701791165853,0.5507202908702205
24,0.00040,44,0.059068292,0.2430397,0.18325551,0.2760969209663331,0.5856893439300079,0.5530122492594203
24,0.00100,44,0.055255823,0.23506556,0.17719673,0.3228201310023985,0.5826526912691918,0.5493743544755333
48,0.00006,44,0.05675251,0.23822786,0.18054932,0.3044776649906782,0.5589881143049938,0.5290433336648337
48,0.00010,44,0.060429823,0.24582478,0.18596683,0.25941086899918664,0.5533854681922428,0.5261182377157455
48,0.00040,44,0.06717452,0.25918046,0.19715661,0.17675226659954912,0.5717850703660472,0.538849478904817
48,0.00100,44,0.061458185,0.24790761,0.19091833,0.24680795962494084,0.5552982364882686,0.5262565193990671
96,0.00006,44,0.056458816,0.23761064,0.18130659,0.30807695291043624,0.5620129601402284,0.5265929076900475
96,0.00010,44,0.05584674,0.23631915,0.1791687,0.31557821836083955,0.5697058927615811,0.5379512377955179
96,0.00040,44,0.057836004,0.24049117,0.18376566,0.2911990864641253,0.5731223155494483,0.537834603673829
96,0.00100,44,0.075613804,0.27497965,0.21896125,0.07332572748120503,0.5723094509760638,0.5382730561023799
168,0.00006,44,0.06279248,0.25058427,0.19035271,0.23045562791572072,0.5139692042476991,0.4955659226846052
168,0.00010,44,0.18242225,0.42710918,0.37256846,-1.2356501425369166,0.5221305545786208,0.5106522673566635
168,0.00040,44,0.06650707,0.25788966,0.19547762,0.18493196344009855,0.5351498579087859,0.5138164514044771
168,0.00100,44,0.059614606,0.24416102,0.18840124,0.2694016839733324,0.5583878303628274,0.527943069259534
288,0.00006,44,0.073713675,0.2715026,0.20797852,0.09661248231641717,0.5223448111019793,0.5075942003842931
288,0.00010,44,0.060528934,0.24602629,0.18714184,0.25819621045005137,0.5178449519037146,0.502978276852485
288,0.00040,44,0.069818094,0.26423115,0.20142975,0.14435422719766444,0.521364872095567,0.5046611304753932
288,0.00100,44,0.06138192,0.24775375,0.18664365,0.2477424837595199,0.5470466287324235,0.5267892696474612
24,0.00006,234,0.055974092,0.23658845,0.1793272,0.27445347669219844,0.5546538409312858,0.5190245393603661
24,0.00010,234,0.05410324,0.23260103,0.17562035,0.29870372493345143,0.5672161022571953,0.5375454812112226
24,0.00040,234,0.053435743,0.23116173,0.17526586,0.3073559426900725,0.5664250665064375,0.5389052207614732
24,0.00100,234,0.053812556,0.23197533,0.17508428,0.30247167784011075,0.5658889323276536,0.5429294193406375
48,0.00006,234,0.055191,0.23492764,0.17800356,0.28460402898945547,0.5454108950568965,0.5196720491087716
48,0.00010,234,0.058113202,0.2410668,0.18272597,0.24672582926640296,0.562817736960998,0.5315904734661029
48,0.00040,234,0.06720935,0.25924766,0.19984561,0.12881992770190076,0.5673357084926084,0.5295475478475197
48,0.00100,234,0.054697704,0.23387541,0.17822482,0.29099817199821476,0.5650083233461858,0.5329045117961704
96,0.00006,234,0.06104744,0.2470778,0.18977593,0.20869178331994132,0.48985956810450554,0.47142353519510305
96,0.00010,234,0.05634986,0.23738125,0.18012854,0.2695825830285472,0.5514960431160958,0.5256545624720906
96,0.00040,234,0.064722106,0.2544054,0.19744733,0.16106001768813805,0.5502868796875193,0.5233872629383584
96,0.00100,234,0.05590451,0.23644134,0.1808133,0.2753553351911173,0.5566246133504735,0.5290373839126491
168,0.00006,234,0.066829585,0.2585142,0.19722973,0.13374248332419592,0.4997494041273686,0.48435540030874147
168,0.00010,234,0.06964268,0.263899,0.20219325,0.0972786742871864,0.5180810265396217,0.5021318409224985
168,0.00040,234,0.06403546,0.2530523,0.19441329,0.1699604716449441,0.5449397437620547,0.5136621734971006
168,0.00100,234,0.056191854,0.23704821,0.18128732,0.27163076014484777,0.543924092965065,0.5128150666691814
288,0.00006,234,0.059747007,0.244432,0.1878485,0.22554816413938406,0.5010906481688533,0.48420750736873375
288,0.00010,234,0.06886732,0.26242584,0.20498466,0.1073290023672574,0.5049905708090355,0.4875730965783947
288,0.00040,234,0.06357496,0.25214076,0.19498628,0.1759296072055836,0.5035721855005663,0.4857354073398672
288,0.00100,234,0.06649539,0.257867,0.20136267,0.13807445032419974,0.5350933777595988,0.5071013770581241
24,0.00006,90,0.05612174,0.23690027,0.18074192,0.2945925258216556,0.5680051430577062,0.5393920435552677
24,0.00010,90,0.06622721,0.25734648,0.19808523,0.16757432059995991,0.5659613509178787,0.5426098960519493
24,0.00040,90,0.063952215,0.25288776,0.19677986,0.19616933397086433,0.5509286693278076,0.5240903983782015
24,0.00100,90,0.057782777,0.24038048,0.1832726,0.2737145186435711,0.5410588919156343,0.5191817003138766
48,0.00006,90,0.05638493,0.23745511,0.18082301,0.29128438856070116,0.5537402053059561,0.5280855098665916
48,0.00010,90,0.05888673,0.24266589,0.18670103,0.2598387368685242,0.5596179914304364,0.5358392999036338
48,0.00040,90,0.057835087,0.24048926,0.18365987,0.27305705574875216,0.5558936718758347,0.5284350314626282
48,0.00100,90,0.062264,0.24952756,0.19278854,0.21738899118785704,0.5493043902591661,0.5250272505592759
96,0.00006,90,0.06259239,0.2501847,0.19106348,0.21326141769071838,0.4916301172556049,0.4769107347313365
96,0.00010,90,0.05904511,0.242992,0.18620025,0.25784802569930787,0.5561805708648837,0.5294014117196548
96,0.00040,90,0.055808265,0.23623773,0.17992781,0.29853266965655234,0.5588358447186951,0.5341489836676376
96,0.00100,90,0.06794635,0.2606652,0.20238525,0.14596610854696046,0.5615591594882778,0.5363351547836688
168,0.00006,90,0.06083761,0.24665281,0.18846418,0.235317537811346,0.5061031910312501,0.4945029139840675
168,0.00010,90,0.0677246,0.2602395,0.20308495,0.14875335185426386,0.5090714703974965,0.4963100791506757
168,0.00040,90,0.057693228,0.24019414,0.1822832,0.2748401089858171,0.5549679106203642,0.5333531989273042
168,0.00100,90,0.061034646,0.24705191,0.19068322,0.232841051589043,0.5545032059432264,0.529592557415947
288,0.00006,90,0.064812414,0.25458282,0.19448377,0.18535734226846368,0.5009572797753362,0.4907054802697073
288,0.00010,90,0.060967572,0.24691613,0.18777868,0.23368404955734146,0.5133334063652394,0.5069007801768091
288,0.00040,90,0.07084199,0.2661616,0.20394474,0.1095702159724895,0.5169386662806398,0.5029076627764778
288,0.00100,90,0.07004359,0.2646575,0.20653334,0.11960544767504999,0.5301174900249931,0.5118741365918017
24,0.00006,500,0.05495508,0.234425,0.17794539,0.28130776032123594,0.5588118786587738,0.5351875663689226
24,0.00010,500,0.05549393,0.23557149,0.17923059,0.2742608949577653,0.5630457570819045,0.5375728377129153
