batch,lr,seed,mse,rmse,mae,r2,pearson_corr,spearman_corr
24,0.00006,44,0.011137645,0.10553504,0.08810442,-0.24851858250089665,0.6142251396868799,0.5778566403377483
24,0.00010,44,0.013306737,0.11535483,0.09847388,-0.49167147089148266,0.6151576078993402,0.5811455426836505
24,0.00040,44,0.011288087,0.106245406,0.08847471,-0.26538307012157825,0.6177361700774602,0.5815255848050962
24,0.00100,44,0.011196639,0.105814174,0.087856546,-0.25513197694346545,0.5958655167601099,0.5706310439089831
48,0.00006,44,0.015087019,0.12282923,0.10604502,-0.6912393706721789,0.6084030733674517,0.5707405437370227
48,0.00010,44,0.011638036,0.10787973,0.09061345,-0.30461200523949605,0.6177517708830158,0.5804121106990089
48,0.00040,44,0.014347833,0.11978244,0.10290663,-0.6083774003564206,0.6107108462633979,0.5727853383738433
48,0.00100,44,0.012581318,0.11216647,0.094793975,-0.41035293975254206,0.59698688844676,0.5614737879640558
96,0.00006,44,0.01036776,0.1018222,0.08398538,-0.16221534317237163,0.6097674791369203,0.5718555290459926
96,0.00010,44,0.012409119,0.11139622,0.09387069,-0.3910495141614547,0.6062380492746333,0.5655144794015513
96,0.00040,44,0.01145812,0.10704261,0.08944931,-0.28444357618181004,0.592921452644551,0.5534719617236646
96,0.00100,44,0.012575274,0.11213953,0.09442096,-0.4096754067317825,0.5696715753888928,0.5433866956710427
168,0.00006,44,0.010984125,0.10480517,0.08733197,-0.2313091810707617,0.6101062985366523,0.571725475904321
168,0.00010,44,0.009729744,0.098639466,0.08113165,-0.09069432274016465,0.6152310653823803,0.5750885495447178
168,0.00040,44,0.010253483,0.101259485,0.08334384,-0.14940507172356865,0.5933201977033877,0.5586994840667598
168,0.00100,44,0.01291533,0.113645636,0.09616536,-0.4477953369820773,0.6116110238915383,0.5763723757777097
288,0.00006,44,0.01035727,0.10177068,0.084040664,-0.16103939802532907,0.602158788451171,0.5638412898939024
288,0.00010,44,0.010401427,0.101987384,0.08397314,-0.16598925617518345,0.6033938944429557,0.5599959011161278
288,0.00040,44,0.010246467,0.10122483,0.08341859,-0.14861845561510933,0.5989310105356891,0.5609211353225129
288,0.00100,44,0.013242138,0.115074486,0.09733498,-0.48443008293605994,0.584106892789207,0.5505127796823919
24,0.00006,234,0.006777922,0.08232814,0.06476,0.04071647927336908,0.6029796571072086,0.5609278665354718
24,0.00010,234,0.0054972097,0.07414317,0.056852855,0.22197645827579338,0.6066293694013773,0.5678473536244832
24,0.00040,234,0.006030696,0.07765756,0.060206022,0.14647178977679376,0.6044143365494276,0.5693241555865778
24,0.00100,234,0.0060463813,0.07775848,0.059528526,0.14425181488170802,0.5840008475201248,0.5539050782129301
48,0.00006,234,0.0049661514,0.07047093,0.053690445,0.2971374757240284,0.6026533885851464,0.5598343851469542
48,0.00010,234,0.0053424933,0.073092364,0.05609801,0.24387360234975397,0.5969793428247205,0.55338393455976
48,0.00040,234,0.0061451537,0.07839103,0.060653888,0.1302725225246445,0.5872676852756069,0.5459314338265188
48,0.00100,234,0.006113418,0.07818835,0.060062174,0.13476407599828322,0.5859808215506865,0.5517998008239428
96,0.00006,234,0.005197237,0.07209186,0.05484123,0.2644318825939569,0.6060465600018894,0.5697452348379946
96,0.00010,234,0.0062344824,0.078958735,0.06112488,0.11762981921101479,0.5965113404432263,0.5610937517441228
96,0.00040,234,0.006396267,0.07997666,0.060928985,0.09473226646932875,0.5741980878820243,0.5450912270788033
96,0.00100,234,0.0059347027,0.07703702,0.05797395,0.16005779018727262,0.5818329114927759,0.5563531831692065
168,0.00006,234,0.0053577223,0.07319646,0.055985525,0.24171819158410568,0.6011353359531872,0.564340320056456
168,0.00010,234,0.006272649,0.07920006,0.061105102,0.11222805832087535,0.5900190569508476,0.5567465488843287
168,0.00040,234,0.0060685957,0.07790119,0.059105724,0.14110781229497993,0.5780394629308669,0.5511825695938818
168,0.00100,234,0.005414105,0.0735806,0.055340115,0.23373835800867515,0.5776287379966325,0.5547989189933891
288,0.00006,234,0.005848892,0.07647805,0.058488302,0.17220266038129717,0.5700782153769443,0.5446591038981212
288,0.00010,234,0.005600267,0.074834935,0.057097573,0.20739064132191065,0.5930662373464449,0.5636070995579436
288,0.00040,234,0.0049432437,0.07030821,0.053264704,0.3003795888045552,0.5977244206600903,0.5577380634988953
288,0.00100,234,0.0076873135,0.08767732,0.070167035,-0.08799029882921827,0.6039552583798456,0.5655933031085906
24,0.00006,90,0.015690187,0.12526047,0.105044894,-0.3611313742375486,0.6019126645901913,0.573833365348469
24,0.00010,90,0.012682695,0.11261747,0.092291705,-0.10023002420793325,0.6032453017524879,0.5695867604846947
24,0.00040,90,0.01475711,0.12147885,0.10099467,-0.2801864349907892,0.5956330855747165,0.5676557139147228
24,0.00100,90,0.013235045,0.11504366,0.09429518,-0.14814660534889335,0.5877589134981662,0.5662121024061716
