batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
96,0.00010,0.3,930,0.057660718,0.24012646,0.19244854,-0.20496370973489242,0.5146867321937597,0.45327895720728806,0.045428887,0.21314053,0.16572928,0.050650716063603274,0.47689758704998725,0.42234007809260316,182,198
96,0.00050,0.3,930,0.03642816,0.19086163,0.14764935,0.23874320449719832,0.5603052032443644,0.5077148046284822,0.033301163,0.18248606,0.14073981,0.3040895730772337,0.5544232716406037,0.4910773421038366,73,62
96,0.00100,0.3,930,0.04229212,0.20565048,0.16157112,0.11620118129670542,0.5609726527009493,0.49908335503478,0.034538127,0.18584436,0.14351903,0.2782401697277469,0.5433280733383166,0.4834477897695855,16,10
96,0.00500,0.3,930,0.02922726,0.17095982,0.13114072,0.3892239240819604,0.6299751958291232,0.5749046464053724,0.02922726,0.17095982,0.13114072,0.3892239240819604,0.6299751958291232,0.5749046464053724,40,40
168,0.00010,0.3,930,0.052253425,0.22859009,0.18095781,-0.09196489469259883,0.48287253189223167,0.4137072350193857,0.048936706,0.22121643,0.17339769,-0.022653832756024617,0.46026237535601683,0.40055353412823863,199,198
168,0.00050,0.3,930,0.03328628,0.18244529,0.14157353,0.3044006363328664,0.5524008902678146,0.4877873481450889,0.03328628,0.18244529,0.14157353,0.3044006363328664,0.5524008902678146,0.4877873481450889,22,22
168,0.00100,0.3,930,0.03735318,0.19326971,0.15249541,0.2194126277003281,0.5707798305905126,0.5035359300268569,0.033553313,0.18317564,0.14154889,0.2988203131216445,0.5499828673890105,0.48782396022786073,22,29
168,0.00500,0.3,930,0.031977165,0.17882161,0.13735248,0.3317577837408934,0.5947508083524791,0.5263218034104886,0.031568464,0.17767516,0.13745323,0.3402986526176063,0.5872258154477334,0.5156779384444395,33,18
322,0.00010,0.3,930,0.62236995,0.78890425,0.7451352,-12.005964421417803,0.39425664819453643,0.35226842576251705,0.24729852,0.49729118,0.3947159,-4.16791582582128,0.3029432929655682,0.34811795149206354,110,195
322,0.00050,0.3,930,0.034989007,0.18705349,0.14527746,0.2688179317045739,0.5234292481247045,0.48140286584772907,0.034989007,0.18705349,0.14527746,0.2688179317045739,0.5234292481247045,0.48140286584772907,93,93
322,0.00100,0.3,930,0.04164406,0.20406877,0.15913658,0.12974410176259132,0.5406630971991229,0.49592015755262464,0.034677114,0.18621792,0.1443947,0.2753357769849386,0.5290749869543044,0.4716392103502131,40,28
322,0.00500,0.3,930,0.048072588,0.21925461,0.17426792,-0.004595983085408539,0.5801093848633535,0.5267829580559821,0.03251483,0.18031868,0.1394555,0.32052200146147025,0.5668664205176734,0.500084727718975,37,28
96,0.00010,0.3,350,0.047715016,0.21843767,0.17079271,0.06827409953942953,0.5352580749509315,0.466563042704715,0.04196757,0.20485988,0.15797676,0.1805038009158052,0.5234040780306839,0.46709671694704963,199,190
96,0.00050,0.3,350,0.037300695,0.19313388,0.14938092,0.2716334878905069,0.5245617921208887,0.45822544312764646,0.037300695,0.19313388,0.14938092,0.2716334878905069,0.5245617921208887,0.45822544312764646,22,22
96,0.00100,0.3,350,0.032211266,0.17947498,0.13650064,0.37101408171580597,0.6144957785910365,0.5380503891366712,0.032211266,0.17947498,0.13650064,0.37101408171580597,0.6144957785910365,0.5380503891366712,81,81
96,0.00500,0.3,350,0.030877916,0.17572114,0.13340311,0.39705025807301586,0.6381394650517622,0.5688153534567907,0.031061014,0.17624135,0.13399784,0.39347496977664387,0.6312754685387353,0.5604906797733513,42,35
168,0.00010,0.3,350,0.074770086,0.2734412,0.21757753,-0.46002727835460644,0.45817553690928586,0.4302442787012148,0.074770086,0.2734412,0.21757753,-0.46002727835460644,0.45817553690928586,0.4302442787012148,195,195
168,0.00050,0.3,350,0.053433955,0.23115785,0.18012519,-0.04339903873746831,0.4824837708189574,0.41832384929981586,0.04451635,0.21098898,0.1632059,0.13073405411214634,0.4688229706068501,0.41785696356455526,33,18
168,0.00100,0.3,350,0.050388586,0.22447401,0.17534861,0.0160675428866498,0.522733927574298,0.4587626414557982,0.03749885,0.1936462,0.150353,0.26776399616100366,0.5309633214489897,0.4724315702915087,39,29
168,0.00500,0.3,350,0.034292225,0.1851816,0.14308551,0.33037939942759276,0.6099195103918764,0.5348519544062776,0.034233727,0.18502359,0.1430808,0.3315217069036255,0.5891613907468054,0.5199905873759181,41,33
322,0.00010,0.3,350,0.4059397,0.63713396,0.5973664,-6.926740908740448,0.4486820607332743,0.4079216606420224,0.16356035,0.40442595,0.34272757,-2.1938248913742706,0.39465349164819474,0.36087460649329894,105,187
322,0.00050,0.3,350,0.061666653,0.24832772,0.19602543,-0.20415811631392744,0.48930893598136865,0.4224912901720693,0.04519377,0.21258827,0.16346577,0.11750614399027404,0.48544900541567715,0.4432222003254718,49,40
322,0.00100,0.3,350,0.03951725,0.19878946,0.15497963,0.2283509133624091,0.5409237877118556,0.4783129334059253,0.037295174,0.19311959,0.14860663,0.2717411514533373,0.5291915801123374,0.4669218441021003,40,44
322,0.00500,0.3,350,0.036134966,0.190092,0.1466369,0.29439645250930124,0.600222711708916,0.5136086916271658,0.034907088,0.18683438,0.14277263,0.31837304189624593,0.5845732682899762,0.5142699253857318,48,35
96,0.00010,0.3,490,0.06579224,0.25649998,0.20593184,-0.35125221107269033,0.4685930602467945,0.39271677335994226,0.0607475,0.24647008,0.19761299,-0.2476423346608292,0.4817284428287053,0.41954512180125836,136,124
96,0.00050,0.3,490,0.041713037,0.2042377,0.15811306,0.1432905905124392,0.5486958636440278,0.48219587426875965,0.036816467,0.19187617,0.14927812,0.24385713070400006,0.5008577201447431,0.4366888949629137,54,39
96,0.00100,0.3,490,0.036025874,0.18980484,0.14674106,0.26009455755707733,0.579108002544125,0.5016203164831512,0.032918762,0.18143529,0.14042917,0.32390890101263003,0.5756970036568267,0.5050916455722154,54,40
96,0.00500,0.3,490,0.029663462,0.17223084,0.1329645,0.39076676992433157,0.6271804612805869,0.5518296723482959,0.029663462,0.17223084,0.1329645,0.39076676992433157,0.6271804612805869,0.5518296723482959,37,37
168,0.00010,0.3,490,0.097083606,0.31158242,0.25864965,-0.9939196439025182,0.4636283216819891,0.423797943152461,0.08052147,0.28376305,0.22952844,-0.6537636190065126,0.41711341192791856,0.366840921434276,183,177
168,0.00050,0.3,490,0.048637953,0.22054014,0.17274001,0.0010655038946102424,0.5119596596714241,0.44658792615757775,0.03802922,0.19501083,0.15233448,0.21894947958007904,0.485886367867041,0.40696738281376704,54,58
168,0.00100,0.3,490,0.036083013,0.1899553,0.14744191,0.2589209564298893,0.5505982633751905,0.47073766245611076,0.0351737,0.18754652,0.14558344,0.2775965949134862,0.5335732010648578,0.4701025864376835,49,38
168,0.00500,0.3,490,0.03624935,0.19039263,0.14750727,0.2555047042867964,0.5967848948534568,0.5188374613262157,0.031890456,0.17857899,0.13826437,0.3450283713654355,0.5886393048040077,0.5111220564744112,43,31
322,0.00010,0.3,490,0.6456687,0.8035351,0.77541703,-12.260853155920088,0.46720196168574285,0.4249852400797975,0.1619397,0.4024173,0.3350818,-2.3259449522955937,0.3618008531301551,0.35005323541530053,65,195
