batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
96,0.00010,0.3,995,0.044343613,0.21057923,0.16005602,0.4097093682604348,0.6415110516572619,0.5671018494155907,0.044343613,0.21057923,0.16005602,0.4097093682604348,0.6415110516572619,0.5671018494155907,31,31
96,0.00050,0.3,995,0.045291215,0.21281733,0.1615939,0.3970951379212373,0.637251811550953,0.5584929589251688,0.045799337,0.2140078,0.16296071,0.39033115049352884,0.6256894183299943,0.5443484722570222,11,4
96,0.00100,0.3,995,0.0459028,0.21424939,0.16350044,0.38895386447290525,0.6337038957408838,0.5520757257194072,0.046024036,0.21453214,0.16376665,0.3873399917047028,0.6240828179140488,0.5451506097883049,13,2
96,0.00500,0.3,995,0.04450989,0.21097368,0.16165364,0.40749590520940115,0.6405928253622605,0.5661597953441363,0.04450989,0.21097368,0.16165364,0.40749590520940115,0.6405928253622605,0.5661597953441363,8,8
168,0.00010,0.3,995,0.044162404,0.21014853,0.15981539,0.41212158487364514,0.642125438760607,0.5670643656781922,0.044162404,0.21014853,0.15981539,0.41212158487364514,0.642125438760607,0.5670643656781922,36,36
168,0.00050,0.3,995,0.04438188,0.21067007,0.16128878,0.4091999517155146,0.6410640988976439,0.5613211308199926,0.04468408,0.21138608,0.16045704,0.4051772217610041,0.6382884546304539,0.5680366085405164,6,5
168,0.00100,0.3,995,0.04544546,0.21317941,0.16222656,0.3950418678913977,0.6316994536417772,0.5541290576801784,0.04544546,0.21317941,0.16222656,0.3950418678913977,0.6316994536417772,0.5541290576801784,5,5
168,0.00500,0.3,995,0.045022514,0.2121851,0.16149856,0.4006720313113967,0.6400340363813506,0.5545387318236138,0.044161476,0.21014632,0.15993717,0.41213390409571005,0.6444488649339136,0.5686181838248993,7,11
322,0.00010,0.3,995,0.043698255,0.20904128,0.1594142,0.418300155260362,0.6470340854777248,0.5706586191021559,0.043760266,0.20918955,0.15939604,0.4174746861047395,0.6461560740705858,0.5703114625776199,61,55
322,0.00050,0.3,995,0.04574542,0.21388179,0.16310717,0.3910488692940095,0.6270364257606716,0.5423448189063962,0.04574542,0.21388179,0.16310717,0.3910488692940095,0.6270364257606716,0.5423448189063962,4,4
