batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
24,0.00005,0.4,658,0.054535437,0.23352824,0.17758852,0.29680158435604376,0.6013434,0.5726587639123148,0.052155096,0.2283749,0.17283009,0.32749450701517246,0.59775496,0.5679101474513591,178,164
24,0.00010,0.4,658,0.048301406,0.21977581,0.16602285,0.37718530644474624,0.6183027,0.5829346769293118,0.048086554,0.21928647,0.16542745,0.37995566859118646,0.6181903,0.5887943308547933,80,68
24,0.00050,0.4,658,0.050407786,0.22451678,0.16896687,0.3500249177949284,0.6243816,0.5936915173501205,0.047798034,0.21862762,0.16493881,0.3836759598753924,0.6217843,0.5902894639391624,39,40
24,0.00100,0.4,658,0.061282933,0.2475539,0.18896213,0.20979704431483903,0.61810863,0.5826358750340305,0.05069488,0.22515523,0.16945103,0.34632304689138105,0.6125351,0.5802960113749839,3,7
96,0.00005,0.4,658,0.059725072,0.24438713,0.18756726,0.2298847228541797,0.5893672,0.563851410517405,0.059725072,0.24438713,0.18756726,0.2298847228541797,0.5893672,0.563851410517405,197,197
96,0.00010,0.4,658,0.054505244,0.23346359,0.17696081,0.29719094115910727,0.60106957,0.5745041933247717,0.054294195,0.23301114,0.17668281,0.29991225991744863,0.57990503,0.5512301559110422,61,46
96,0.00050,0.4,658,0.058301862,0.24145779,0.18471321,0.248235989464485,0.5874394,0.5632447201526145,0.051830355,0.22766282,0.17316054,0.33168182432930937,0.5804997,0.5578591087855027,32,22
96,0.00100,0.4,658,0.046924155,0.21661983,0.16457307,0.3949440054527872,0.63168246,0.6016683445634753,0.046914928,0.21659854,0.16376862,0.3950629882023222,0.6292441,0.5994493099938303,79,72
168,0.00005,0.4,658,0.071997136,0.26832283,0.2071949,0.0716444711125448,0.56555635,0.5480781257887409,0.071997136,0.26832283,0.2071949,0.0716444711125448,0.56555635,0.5480781257887409,199,199
168,0.00010,0.4,658,0.05198359,0.2279991,0.17263506,0.32970593031049067,0.5955729,0.5725652709643314,0.05198359,0.2279991,0.17263506,0.32970593031049067,0.5955729,0.5725652709643314,65,65
168,0.00050,0.4,658,0.059375264,0.2436704,0.1865648,0.2343952126183213,0.5702956,0.5523227621868235,0.054801606,0.23409742,0.17806023,0.29336949279557345,0.54915637,0.530831292490043,16,11
168,0.00100,0.4,658,0.047073524,0.21696433,0.16362342,0.3930180124705538,0.6296925,0.5966653667284048,0.047073524,0.21696433,0.16362342,0.3930180124705538,0.6296925,0.5966653667284048,90,90
24,0.00005,0.4,515,0.0548842,0.23427378,0.17482054,0.3073423066973101,0.58204484,0.555724262346007,0.0548842,0.23427378,0.17482054,0.3073423066973101,0.58204484,0.555724262346007,193,193
24,0.00010,0.4,515,0.05452928,0.23351505,0.17429145,0.3118214901602976,0.5875859,0.5560341725948809,0.05376863,0.23188064,0.17276613,0.32142117641494483,0.57888645,0.5524766963394998,43,28
24,0.00050,0.4,515,0.049513076,0.22251534,0.16575202,0.37512777937119735,0.6143966,0.5797161555149177,0.049513076,0.22251534,0.16575202,0.37512777937119735,0.6143966,0.5797161555149177,32,32
24,0.00100,0.4,515,0.051251683,0.22638835,0.16917877,0.35318596767724364,0.6130383,0.5767431129814342,0.050340686,0.2243673,0.16742253,0.36468307404312617,0.6110006,0.5717785134530158,11,13
96,0.00005,0.4,515,0.052091803,0.22823629,0.17141221,0.3425832614615766,0.59725213,0.5655343558262357,0.051621165,0.22720292,0.1702242,0.3485228940580982,0.5924126,0.5641420019818162,195,186
96,0.00010,0.4,515,0.05271993,0.22960821,0.17269431,0.3346561555984895,0.59588164,0.5642124229966039,0.05189243,0.2277991,0.17006278,0.34509950033708414,0.5947668,0.5601884250982391,41,26
96,0.00050,0.4,515,0.05184057,0.22768524,0.17021911,0.34575392633000634,0.60709053,0.5705810365106347,0.05064604,0.22504675,0.16915335,0.3608293951048467,0.60097456,0.5641529503872431,47,35
96,0.00100,0.4,515,0.05010001,0.22383031,0.16764395,0.3677204657302633,0.61297363,0.5726567042706262,0.049662072,0.22284989,0.16696618,0.3732473766714931,0.612548,0.5723315152371781,54,59
168,0.00005,0.4,515,0.07725876,0.2779546,0.21724468,0.024967536950883717,0.56284654,0.5245468365585712,0.07256802,0.26938453,0.2083805,0.08416624051288091,0.54766375,0.5029801112138255,194,200
168,0.00010,0.4,515,0.059662342,0.24425876,0.18562682,0.24704051138191485,0.590887,0.557660855884241,0.05757644,0.23995091,0.18262249,0.27336527133311717,0.5806094,0.5482041324642265,72,57
168,0.00050,0.4,515,0.056681484,0.23807873,0.1805179,0.2846599414584956,0.5577457,0.5294847498407561,0.056681484,0.23807873,0.1805179,0.2846599414584956,0.5577457,0.5294847498407561,14,14
168,0.00100,0.4,515,0.05162752,0.2272169,0.17195158,0.3484427224684423,0.616285,0.5769041537469605,0.049332935,0.22211018,0.16639285,0.377401199474079,0.61510825,0.5750824406196031,77,81
24,0.00005,0.4,772,0.054330446,0.23308893,0.17908938,0.28626072040790485,0.61802256,0.5872170575767083,0.051977858,0.22798653,0.17419854,0.31716667622761996,0.61796737,0.5884189102863316,189,191
24,0.00010,0.4,772,0.051576793,0.22710524,0.17428197,0.3224354502228234,0.61914974,0.587165393276563,0.04975,0.22304708,0.17076088,0.3464340076339726,0.61518914,0.5840488725495288,26,21
24,0.00050,0.4,772,0.052377395,0.22886108,0.1750324,0.3119178739965073,0.62763983,0.5913413257863966,0.05004843,0.22371507,0.17075783,0.3425135598122926,0.5980698,0.5617342328166789,23,9
24,0.00100,0.4,772,0.051131878,0.22612359,0.17239189,0.32828023442230203,0.6304925,0.5955917103187595,0.046250533,0.21505937,0.16302654,0.3924064546236786,0.6280429,0.5952807323609441,16,14
