num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
5,96,0.0001,0.3,930,0.043392576,0.20830885,0.16086513,0.0932045462804933,0.4016600824706016,0.3842406321653414,0.043506615,0.20858239,0.16255255,0.0908213414734951,0.3869489631668342,0.3605797655856728,194,187
5,96,0.0005,0.3,930,0.049893156,0.22336777,0.17635018,-0.0426412551755752,0.5315042480687121,0.485767070887678,0.038429707,0.19603497,0.15246423,0.1969158937387607,0.5155494888760883,0.480489900632831,24,10
5,96,0.001,0.3,930,0.039893784,0.19973429,0.15461236,0.1663203799375333,0.5297751641187043,0.4800277653490913,0.04061473,0.20153096,0.15562937,0.151254424138138,0.4897918956005007,0.4589994171857135,26,15
10,96,0.0001,0.3,930,0.041493487,0.2036995,0.15823187,0.1328906703538944,0.4858308512065802,0.440399629844359,0.04168053,0.2041581,0.15973017,0.1289819014484475,0.4701434761669561,0.4283224978415212,137,127
10,96,0.0005,0.3,930,0.041853216,0.20458059,0.15963772,0.1253732522240458,0.4851783520707924,0.4360348785757066,0.041853216,0.20458059,0.15963772,0.1253732522240458,0.4851783520707924,0.4360348785757066,19,19
10,96,0.001,0.3,930,0.040624414,0.20155498,0.15550168,0.1510521655411543,0.4771614062394904,0.4308352687467062,0.039342776,0.19835013,0.15391058,0.1778351707214801,0.4822727205516524,0.4270213354036624,40,41
15,96,0.0001,0.3,930,0.04530299,0.212845,0.16514775,0.0532816713869154,0.4872169739787653,0.4517543740581782,0.042886354,0.20709021,0.16094814,0.1037832654237347,0.4857447212283133,0.4445578633135871,133,137
15,96,0.0005,0.3,930,0.042318515,0.20571464,0.15977906,0.1156496310983906,0.5057713526212705,0.4654684144271215,0.04021259,0.20053077,0.15467374,0.1596581616672556,0.5013067552224506,0.4648115749722185,35,40
15,96,0.001,0.3,930,0.03793298,0.19476391,0.15097284,0.2072962839988298,0.536436881422663,0.4793740339523325,0.03788948,0.1946522,0.15043661,0.208205322691242,0.5208949947513437,0.4686852743755407,72,65
20,96,0.0001,0.3,930,0.03806667,0.19510682,0.1502433,0.2045024750345979,0.5444054905397371,0.4924662679829739,0.03816001,0.19534588,0.1505722,0.2025518784752616,0.5337412409056999,0.4862516392312505,198,177
20,96,0.0005,0.3,930,0.038865976,0.19714455,0.1520575,0.1877990516638636,0.5548550350552581,0.4982129811753139,0.037482154,0.19360308,0.14881752,0.2167174065960398,0.5408479085115356,0.4780093874482969,35,21
20,96,0.001,0.3,930,0.039293308,0.1982254,0.15361676,0.1788688253781182,0.539010703054209,0.4757009226865396,0.038056973,0.19508196,0.15141164,0.2047051501946302,0.5351052262935112,0.4692598487257942,25,20
25,96,0.0001,0.3,930,0.040916823,0.20227908,0.15578951,0.1449415201568767,0.5268882637551723,0.4691597890172145,0.040212214,0.20052983,0.15520589,0.1596660354109718,0.5151204827570299,0.4549937958830229,152,151
25,96,0.0005,0.3,930,0.04012409,0.20030998,0.15521291,0.1615076399312004,0.552590109767902,0.492079926018214,0.038840782,0.19708064,0.15250292,0.1883255404152219,0.535003022631343,0.4690135326360443,41,28
25,96,0.001,0.3,930,0.038055927,0.19507928,0.1503486,0.2047270219993788,0.5500691106966576,0.4853077169716691,0.03694333,0.19220649,0.14843069,0.2279774764272015,0.5481834967651844,0.4847499707742401,30,28
30,96,0.0001,0.3,930,0.03901887,0.19753194,0.15265907,0.1846039433413089,0.535208801763976,0.4746093306045077,0.038497437,0.19620764,0.15133294,0.1955005621003094,0.5318056308728583,0.4743811546915186,182,171
30,96,0.0005,0.3,930,0.037668824,0.19408458,0.1504767,0.2128164581282644,0.5488129861466782,0.4885278605680172,0.037045475,0.19247201,0.14854147,0.2258428478804263,0.5527751315547079,0.5000792574775409,62,67
30,96,0.001,0.3,930,0.037438467,0.19349022,0.1494495,0.2176303507784988,0.5556526522042249,0.496011241656479,0.037438467,0.19349022,0.1494495,0.2176303507784988,0.5556526522042249,0.496011241656479,62,62
40,96,0.0001,0.3,930,0.03633715,0.19062306,0.14665486,0.2406450879881,0.5546323868480177,0.4949942036744363,0.03659886,0.19130829,0.14846072,0.2351761183130711,0.544544200883334,0.4807997553807395,143,129
40,96,0.0005,0.3,930,0.037465964,0.19356127,0.14962177,0.2170557737297848,0.5502020988288951,0.4759766082039274,0.037442736,0.19350126,0.14911859,0.2175412018217,0.5449465501683047,0.4816537328618063,51,41
40,96,0.001,0.3,930,0.03888994,0.19720532,0.1522278,0.1872983096200059,0.5588414453763002,0.4925253598825395,0.037317738,0.193178,0.14837117,0.220153281265455,0.5490679385079421,0.4857439898317804,25,41
50,96,0.0001,0.3,930,0.03805085,0.19506627,0.15059136,0.2048331484864078,0.5403797124173183,0.4749983724716495,0.037897356,0.19467244,0.15058212,0.2080407225628122,0.5262207481936368,0.4654213738678915,89,76
50,96,0.0005,0.3,930,0.04073676,0.2018335,0.15617585,0.1487043554963817,0.5462797894254525,0.4822197755033791,0.036842935,0.19194514,0.14691763,0.2300754522825061,0.5533148830106851,0.4890499272964193,28,65
50,96,0.001,0.3,930,0.041843794,0.20455755,0.15860376,0.125570089683357,0.543496950951756,0.4801061608956967,0.038556263,0.19635749,0.15123905,0.1942712518888901,0.5327890715005054,0.4640535792171216,28,18
60,96,0.0001,0.3,930,0.03575302,0.1890847,0.14610843,0.2528519784560975,0.5598399276612278,0.5098000202437237,0.03575302,0.1890847,0.14610843,0.2528519784560975,0.5598399276612278,0.5098000202437237,93,93
60,96,0.0005,0.3,930,0.03809908,0.19518986,0.15125513,0.2038251609270183,0.5648920482254712,0.5127603082728476,0.037778195,0.19436614,0.15044186,0.2105309976223675,0.5430435141083045,0.4896492328203867,21,43
60,96,0.001,0.3,930,0.03927398,0.19817664,0.15281655,0.1792727409211973,0.5490825957588799,0.4847170478635879,0.038592633,0.19645008,0.15160923,0.1935111787814328,0.5459353423066199,0.4874831645618495,16,18
70,96,0.0001,0.3,930,0.03517957,0.18756218,0.14493468,0.264835636135123,0.5728263114679997,0.5158496964170055,0.03549056,0.18838939,0.14518088,0.258336683230301,0.5587161492596328,0.4972282931317522,95,93
70,96,0.0005,0.3,930,0.037717886,0.19421093,0.15013665,0.2117912359634615,0.5551407454206617,0.4955213006985474,0.03767636,0.194104,0.15030308,0.212659035070745,0.5465025828033149,0.4778827167308643,25,24
70,96,0.001,0.3,930,0.03758053,0.19385698,0.15034686,0.214661559874996,0.5720205884952043,0.5094459558589132,0.036926404,0.19216244,0.14718877,0.2283312022037376,0.5514977761751352,0.4922580793217468,42,37
