num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
5,96,0.00010,0.3,920,0.059083857,0.2430717,0.18784025,-0.10607538043864873,0.3285506390831545,0.32268139925924805,0.05890607,0.24270573,0.18683346,-0.10274708444215563,0.32777687611506723,0.3230576731516981,198,199
5,96,0.00050,0.3,920,0.04530674,0.21285379,0.16423869,0.15183831763121702,0.43999170420604905,0.41038598443410124,0.04530674,0.21285379,0.16423869,0.15183831763121702,0.43999170420604905,0.41038598443410124,37,37
5,96,0.00100,0.3,920,0.04476355,0.21157399,0.1642591,0.16200694099311863,0.4491113228807169,0.4115324589427173,0.04573003,0.2138458,0.16547525,0.14391410443629848,0.43625205100136766,0.39743295478693835,14,28
10,96,0.00010,0.3,920,0.061198894,0.2473841,0.19385521,-0.145669741806147,0.3790134960322314,0.3586589998422629,0.056113,0.23688182,0.18433444,-0.05045968633688647,0.3699477954363419,0.3487699628925137,147,158
10,96,0.00050,0.3,920,0.05508503,0.234702,0.18222001,-0.031215502398151962,0.41517058739566975,0.40068280195918227,0.05341159,0.23110949,0.17930505,0.00011189713788306577,0.4071803031325263,0.39120347231683344,27,35
10,96,0.00100,0.3,920,0.050086033,0.2237991,0.17359415,0.062367846011636585,0.4411540582078765,0.404515563143934,0.048307586,0.21978986,0.17068078,0.09566108158452225,0.4328078793496037,0.3997026691716656,53,56
15,96,0.00010,0.3,920,0.05113949,0.22614042,0.17646658,0.0426467119611712,0.4072178464870911,0.3713586951850482,0.049303,0.22204278,0.17298527,0.0770265500019165,0.4139278256008529,0.37106181557084994,144,148
15,96,0.00050,0.3,920,0.050694183,0.22515368,0.17536113,0.050983014822180706,0.40940198492823116,0.3781829753651135,0.050694183,0.22515368,0.17536113,0.050983014822180706,0.40940198492823116,0.3781829753651135,11,11
15,96,0.00100,0.3,920,0.050838664,0.22547431,0.17510177,0.048278211548742234,0.42585604821415124,0.38378595166919655,0.048631303,0.22052506,0.17050064,0.08960096838141174,0.4085637243843923,0.3689404535843051,59,44
20,96,0.00010,0.3,920,0.053982362,0.23234105,0.18078306,-0.010573156195317734,0.3988966920323928,0.3645747725891601,0.053982362,0.23234105,0.18078306,-0.010573156195317734,0.3988966920323928,0.3645747725891601,144,144
20,96,0.00050,0.3,920,0.04836942,0.21993048,0.17152931,0.09450356110758729,0.4518101133260486,0.40065761737649164,0.04836942,0.21993048,0.17152931,0.09450356110758729,0.4518101133260486,0.40065761737649164,66,66
20,96,0.00100,0.3,920,0.048045106,0.21919194,0.16971561,0.10057487943688603,0.4572401208642899,0.4070160799598005,0.048377924,0.21994983,0.17255497,0.09434439574333842,0.43205124745161627,0.3793785708887412,56,67
25,96,0.00010,0.3,920,0.04867992,0.22063527,0.17180765,0.08869084953927753,0.4518353776917304,0.4177740903361849,0.048576172,0.22040004,0.17122826,0.09063306261172899,0.43829931440940434,0.40767252834986917,153,155
25,96,0.00050,0.3,920,0.046989188,0.21676989,0.1693932,0.12034208356667586,0.4690701163785734,0.4256235901523945,0.04751074,0.21796958,0.17124233,0.11057838842241785,0.45671719258809446,0.410197146791714,31,34
25,96,0.00100,0.3,920,0.049390864,0.22224055,0.17286721,0.07538168282306046,0.45363648000737683,0.4120480253792984,0.047953885,0.21898375,0.17123921,0.10228250853918308,0.45768292743516686,0.4105702219435143,41,27
30,96,0.00010,0.3,920,0.048094697,0.21930504,0.16994432,0.09964643416418617,0.45955925089249433,0.4171487774145295,0.048207235,0.21956146,0.17072001,0.09753966999957953,0.44580814006430425,0.40314585782851237,144,129
30,96,0.00050,0.3,920,0.046942405,0.21666196,0.16866358,0.12121789836663999,0.4623496614460844,0.4220589348605082,0.046942405,0.21666196,0.16866358,0.12121789836663999,0.4623496614460844,0.4220589348605082,32,32
30,96,0.00100,0.3,920,0.046626363,0.21593139,0.16886301,0.12713436026643754,0.47727013353927944,0.4314184632957267,0.04703638,0.21687873,0.1687651,0.11945861144077463,0.45610793430608,0.4105997078951388,32,42
35,96,0.00010,0.3,920,0.048160072,0.21945404,0.16986877,0.09842261666386232,0.4383377700846942,0.3946250033821793,0.048160072,0.21945404,0.16986877,0.09842261666386232,0.4383377700846942,0.3946250033821793,175,175
35,96,0.00050,0.3,920,0.049013898,0.22139083,0.17206833,0.08243862963370274,0.4438489681307841,0.396133040722459,0.04865382,0.22057611,0.17151864,0.08917950386570161,0.4384506210420785,0.384324783070985,65,76
35,96,0.00100,0.3,920,0.047880523,0.21881619,0.16995749,0.1036559110466252,0.45900538569766386,0.4101348800419723,0.049116865,0.22162326,0.1720864,0.08051107193892093,0.43349945422730296,0.38626878446324225,37,24
40,96,0.00010,0.3,920,0.045902133,0.21424784,0.16527933,0.14069219625994078,0.46790969685728245,0.4277656558299529,0.044690654,0.21140164,0.16413137,0.16337162351726264,0.4710487055977077,0.4277398319299752,108,99
40,96,0.00050,0.3,920,0.046006992,0.21449241,0.16648301,0.13872921577420194,0.48571452731843434,0.44175111904765074,0.04657344,0.21580881,0.16796957,0.1281250184625179,0.4605088062579166,0.41682324298735585,22,21
