num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
10,96,0.0001,0.3,995,0.046432707,0.2154825,0.16399275,0.3818998516970966,0.6209619631229792,0.549647612845206,0.04640817,0.21542555,0.1644333,0.3822264992094337,0.6193961932060592,0.5499422155210182,55,48
10,96,0.0005,0.3,995,0.04721363,0.21728697,0.16630673,0.3715044224984409,0.6182951182190415,0.5444003843981493,0.04692462,0.21662092,0.16547291,0.3753516793758996,0.6159953377326622,0.544938062511784,6,1
10,96,0.001,0.3,995,0.049720358,0.22298062,0.16975322,0.3381354983814381,0.6021992836731855,0.5364586955697208,0.04846813,0.22015479,0.16839334,0.3548048806580213,0.6063436099693804,0.5359570077207432,2,1
20,96,0.0001,0.3,995,0.047121305,0.21707442,0.16584454,0.3727334530331603,0.6156124395823506,0.5443446881856412,0.04697938,0.21674727,0.1653088,0.374622745782273,0.6155955736152926,0.5484794682492975,47,36
20,96,0.0005,0.3,995,0.04816333,0.21946146,0.16691828,0.3588623116586658,0.6149955768358628,0.5455279830304366,0.04760185,0.21817848,0.1668561,0.366336562288473,0.6112045414195185,0.5337531379573568,2,1
20,96,0.001,0.3,995,0.048235856,0.21962664,0.1682522,0.3578968435691977,0.6097721003523314,0.5295088408090494,0.048996557,0.22135165,0.1687427,0.347770579587602,0.596462961955239,0.5231256126419838,1,5
30,96,0.0001,0.3,995,0.047450766,0.21783197,0.16756019,0.3683477280297913,0.6160990103811651,0.5443448004996482,0.047065146,0.21694504,0.16629253,0.3734810178153047,0.6145711154409828,0.5395954315116882,34,40
30,96,0.0005,0.3,995,0.047752447,0.21852334,0.16758421,0.3643318659097703,0.6053102557573755,0.5321275997284113,0.047752447,0.21852334,0.16758421,0.3643318659097703,0.6053102557573755,0.5321275997284113,0,0
30,96,0.001,0.3,995,0.047775213,0.21857542,0.16723225,0.3640287972359639,0.6091286411291799,0.5291104539197639,0.047775213,0.21857542,0.16723225,0.3640287972359639,0.6091286411291799,0.5291104539197639,5,5
40,96,0.0001,0.3,995,0.046469048,0.2155668,0.16333611,0.3814161389675735,0.6211278393201117,0.5470295848775435,0.04650833,0.2156579,0.16364883,0.3808932241661132,0.6210843523085877,0.5491187310431771,31,27
40,96,0.0005,0.3,995,0.04795299,0.21898171,0.1668283,0.3616622394529405,0.6068062109127778,0.5321865797596422,0.04795299,0.21898171,0.1668283,0.3616622394529405,0.6068062109127778,0.5321865797596422,0,0
40,96,0.001,0.3,995,0.04786416,0.21877879,0.16668229,0.3628447006508972,0.6117652707119822,0.5403641377163646,0.047982123,0.21904822,0.16781425,0.3612744648989476,0.6078019890859079,0.5294642897886498,2,1
50,96,0.0001,0.3,995,0.046710353,0.21612579,0.16544563,0.3782039259138962,0.6204344945871049,0.5473617726769119,0.046729855,0.21617089,0.16593565,0.3779443126042568,0.6199520331229225,0.5433809672244844,22,26
50,96,0.0005,0.3,995,0.047859263,0.2187676,0.16832452,0.3629099563398158,0.6081361712352793,0.5340698519220776,0.047859263,0.2187676,0.16832452,0.3629099563398158,0.6081361712352793,0.5340698519220776,0,0
50,96,0.001,0.3,995,0.04834222,0.21986865,0.16910234,0.356480923205862,0.6089870935441596,0.5289806948155419,0.04834222,0.21986865,0.16910234,0.356480923205862,0.6089870935441596,0.5289806948155419,1,1
