num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_p,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,spearman_corr_r,best_pearson_epoch,best_r2_epoch
5,96,0.00010,0.3,920,0.07802532,0.27933013,0.2138014,0.2901966361621505,0.5415124081424934,0.47434434238227197,0.07796947,0.27923015,0.21374474,0.2907047052152979,0.5428290286027994,0.47701941839704404,60,53
5,96,0.00050,0.3,920,0.07924702,0.28150848,0.21542981,0.27908273522695803,0.5351272840960937,0.46781703967357063,0.07989538,0.2826577,0.21610703,0.2731845033056739,0.5290051203345506,0.4589314948476022,2,4
5,96,0.00100,0.3,920,0.079484016,0.2819291,0.21651997,0.2769267147052462,0.5321614654145213,0.46375954124946894,0.079484016,0.2819291,0.21651997,0.2769267147052462,0.5321614654145213,0.46375954124946894,1,1
10,96,0.00010,0.3,920,0.080166556,0.283137,0.21727026,0.2707175639919991,0.5239390735612269,0.46473806326990946,0.0803417,0.2834461,0.2174574,0.26912430183061786,0.5232411544871068,0.46199768400401453,40,46
10,96,0.00050,0.3,920,0.081528515,0.285532,0.21854174,0.2583276854250868,0.5170430326401525,0.45426645773495666,0.081528515,0.285532,0.21854174,0.2583276854250868,0.5170430326401525,0.45426645773495666,1,1
10,96,0.00100,0.3,920,0.08253231,0.28728437,0.21973428,0.24919612752440512,0.5106073547438357,0.44274898495888787,0.08253231,0.28728437,0.21973428,0.24919612752440512,0.5106073547438357,0.44274898495888787,1,1
15,96,0.00010,0.3,920,0.08205396,0.28645062,0.21869104,0.2535476770517925,0.5139399498223307,0.45592520222074956,0.08205396,0.28645062,0.21869104,0.2535476770517925,0.5139399498223307,0.45592520222074956,38,38
15,96,0.00050,0.3,920,0.08436034,0.29044852,0.2212246,0.23256636727016156,0.5048373091038942,0.446526728315906,0.083864145,0.28959307,0.22014084,0.23708030047464823,0.504316282056415,0.4474593795723307,2,1
15,96,0.00100,0.3,920,0.08511504,0.29174483,0.22326148,0.22570078765421053,0.505294297912202,0.44942223623377997,0.08511504,0.29174483,0.22326148,0.22570078765421053,0.505294297912202,0.44942223623377997,3,3
20,96,0.00010,0.3,920,0.08040758,0.2835623,0.21774969,0.26852495767652607,0.5234315312916891,0.45502313641279163,0.08010485,0.283028,0.21779214,0.27127890800585486,0.5261328493222279,0.46215126484903973,32,23
20,96,0.00050,0.3,920,0.08247994,0.2871932,0.21975613,0.24967253147429147,0.5173487453022444,0.4535023286179375,0.08247994,0.2871932,0.21975613,0.24967253147429147,0.5173487453022444,0.4535023286179375,2,2
20,96,0.00100,0.3,920,0.082260504,0.28681093,0.21940188,0.25166871714651595,0.5217184289847203,0.45901888689522274,0.082260504,0.28681093,0.21940188,0.25166871714651595,0.5217184289847203,0.45901888689522274,3,3
25,96,0.00010,0.3,920,0.083787814,0.28946126,0.22224264,0.23777472249061293,0.4990122513583229,0.44192823111476803,0.08352575,0.2890082,0.22226448,0.24015876055632512,0.5012779437437067,0.4450093224125493,26,23
25,96,0.00050,0.3,920,0.08614023,0.29349655,0.2242643,0.21637453131908757,0.4957373943764264,0.43592535075590816,0.08614023,0.29349655,0.2242643,0.21637453131908757,0.4957373943764264,0.43592535075590816,2,2
25,96,0.00100,0.3,920,0.08594122,0.29315734,0.22558208,0.21818494882080997,0.5036839329082715,0.4394120034710875,0.08594122,0.29315734,0.22558208,0.21818494882080997,0.5036839329082715,0.4394120034710875,3,3
30,96,0.00010,0.3,920,0.08200286,0.28636143,0.21823075,0.25401255554098245,0.5141536046330485,0.45416221094739473,0.08235264,0.28697148,0.21893524,0.25083065425168727,0.5108309569723606,0.45080972676154946,30,26
30,96,0.00050,0.3,920,0.084212855,0.2901945,0.221665,0.23390805759553168,0.504813435856408,0.4443278074127501,0.084212855,0.2901945,0.221665,0.23390805759553168,0.504813435856408,0.4443278074127501,2,2
30,96,0.00100,0.3,920,0.08533552,0.29212245,0.22242714,0.22369508371909075,0.5018060233521329,0.4412881166356062,0.08533552,0.29212245,0.22242714,0.22369508371909075,0.5018060233521329,0.4412881166356062,3,3
35,96,0.00010,0.3,920,0.08333104,0.28867117,0.22142021,0.24192999248537883,0.5026916982679345,0.44754121062932106,0.08333104,0.28867117,0.22142021,0.24192999248537883,0.5026916982679345,0.44754121062932106,21,21
35,96,0.00050,0.3,920,0.08456104,0.2907938,0.22334301,0.23074052063523898,0.5038019201434281,0.4465727482603976,0.08456104,0.2907938,0.22334301,0.23074052063523898,0.5038019201434281,0.4465727482603976,2,2
35,96,0.00100,0.3,920,0.085524626,0.29244593,0.22497755,0.22197473935120282,0.5018351157656084,0.4410554201843867,0.085524626,0.29244593,0.22497755,0.22197473935120282,0.5018351157656084,0.4410554201843867,3,3
40,96,0.00010,0.3,920,0.081735864,0.28589484,0.21823141,0.2564414744742818,0.5138220710301539,0.46035934328920336,0.08146427,0.28541946,0.21798323,0.258912225625638,0.5160217092490912,0.46040541438521004,18,17
40,96,0.00050,0.3,920,0.08430716,0.29035693,0.22185409,0.23305020075248795,0.5057098028494368,0.4500965161359581,0.08430716,0.29035693,0.22185409,0.23305020075248795,0.5057098028494368,0.4500965161359581,2,2
40,96,0.00100,0.3,920,0.088979185,0.2982938,0.22894876,0.19054829761174097,0.4902555854464639,0.43081581139844827,0.088979185,0.2982938,0.22894876,0.19054829761174097,0.4902555854464639,0.43081581139844827,2,2
