CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
10,223,AC0069(Pax4)-f8,AC0069(Pax4)-f1,AC0069(Pax4)-f3,AC0069(Pax4)-f4,1.0655416,0.91581124,0.7795159,0.7607018,,,,,,,,,,,,
10,276,AC0069(Pax4)-f2,AC0069(Pax4)-f3,1.061635,1.0298983,,,,,,,,,,,,,,,,
10,291,AC0069(Pax4)-f8,AC0069/AC0012(Pax4/Hoxd8)-f3,AC0069(Pax4)-f7,AC0069(Pax4)-f4,AC0069/AC0074/AC0070(Pax4/Ikzf3/Wt1)-f0,1.009345,1.0060035,1.0027294,0.92020464,0.79944897,,,,,,,,,,
10,832,AC0069(Pax4)-f9,AC0069(Pax4)-f8,AC0069(Pax4)-f6,AC0069(Pax4)-f1,1.0361161,0.95573556,0.7183116,0.70810854,,,,,,,,,,,,
10,490,AC0069(Pax4)-f9,AC0069(Pax4)-f2,AC0069(Pax4)-f7,AC0069(Pax4)-f6,AC0069(Pax4)-f4,1.3420786,1.033614,0.97329515,0.88271993,0.83986336,,,,,,,,,,
15,223,AC0069(Pax4)-f7,AC0069/AC0012(Pax4/Lhx1)-f10,AC0069/AC0068(Pax4/Pax5)-f1,AC0069/AC0048(Pax4/Gata1::Tal1)-f14,AC0069(Pax4)-f13,0.6197037,0.52986205,0.5254656,0.5201945,0.5004474,,,,,,,,,,
15,276,AC0069(Pax4)-f12,AC0069(Pax4)-f7,AC0069/AC0074(Pax4/Ikzf3)-f5,AC0069(Pax4)-f0,AC0069(Pax4)-f8,AC0065/AC0069(Klf4/Pax4)-f2,AC0070(Wt1)-f14,AC0066(Gli2/Gli1)-f10,0.78081685,0.7316689,0.64036715,0.62094367,0.611719,0.6039453,0.48542315,-0.00019822919,,,,
15,291,AC0069(Pax4)-f4,AC0079(Bcl6)-f6,AC0069(Pax4)-f2,AC0069(Pax4)-f3,AC0069(Pax4)-f5,AC0069(Pax4)-f9,0.7688516,0.68288773,0.630997,0.5664779,0.4939328,0.42753443,,,,,,,,
15,832,AC0069(Pax4)-f12,AC0069(Pax4)-f10,AC0069(Pax4)-f13,0.7276754,0.67412376,0.6424439,,,,,,,,,,,,,,
15,930,AC0069(Pax4)-f12,AC0073/AC0069(Prdm5/Pax4)-f6,AC0069(Pax4)-f4,AC0069(Pax4)-f1,AC0069(Pax4)-f11,AC0069(Pax4)-f2,AC0065(Klf4)-f10,AC0069(Pax4)-f3,AC0081(Zfp809)-f13,0.69164634,0.68656445,0.68644154,0.67980367,0.6357662,0.56884557,0.5679726,0.5555728,0.14789025,,
20,223,AC0069(Pax4)-f19,AC0069(Pax4)-f13,AC0069(Pax4)-f2,AC0069(Pax4)-f11,AC0069(Pax4)-f3,AC0069(Pax4)-f4,AC0069(Pax4)-f6,AC0048/AC0069(Gata1::Tal1/Pax4)-f7,0.5646437,0.49590987,0.4686879,0.4535428,0.43918875,0.42061377,0.4057412,0.19095458,,,,
20,276,AC0052/AC0069(Bcl11B/Pax4)-f1,AC0069(Pax4)-f12,AC0069/AC0012(Pax4/Lhx1)-f2,AC0069(Pax4)-f11,AC0069(Pax4)-f14,AC0069(Pax4)-f7,AC0058(Rarb)-f4,0.55245376,0.49137414,0.47294977,0.4513147,0.4105215,0.31034532,0.14257866,,,,,,
20,291,AC0069(Pax4)-f3,AC0069(Pax4)-f0,AC0069(Pax4)-f7,AC0069(Pax4)-f2,AC0069(Pax4)-f10,AC0069(Pax4)-f6,AC0069(Pax4)-f17,0.614674,0.6046704,0.5280755,0.5200221,0.4501742,0.44100296,0.41095525,,,,,,
20,832,AC0069/AC0068(Pax4/Pax5)-f3,AC0069(Pax4)-f17,AC0069(Pax4)-f5,AC0069(Pax4)-f2,AC0069/AC0073(Pax4/Prdm5)-f8,0.5753148,0.54579633,0.5381243,0.5299059,0.46068594,,,,,,,,,,
20,350,AC0069(Pax4)-f12,AC0069(Pax4)-f7,AC0069(Pax4)-f6,AC0069(Pax4)-f3,AC0069(Pax4)-f1,AC0047/AC0069(Plagl1/Pax4)-f11,AC0069/AC0079(Pax4/Stat5b)-f0,0.5634015,0.5449512,0.5035902,0.4736531,0.40614808,0.3526911,0.3097157,,,,,,
25,223,AC0069(Pax4)-f24,AC0010(Nanog)-f13,AC0002/AC0012(Stat2/Irf1/Prrx2)-f20,AC0069/AC0028(Pax4/Prdm15)-f18,AC0069(Pax4)-f11,AC0069(Pax4)-f12,AC0069(Pax4)-f14,AC0069(Pax4)-f19,AC0069/AC0064(Pax4/Pparg::Rxra)-f4,AC0047(Plagl1)-f3,0.4819115,0.46187264,0.40230304,0.37994137,0.3508871,0.34504426,0.33112416,0.29408234,0.2557053,-0.033810742
25,276,AC0069(Pax4)-f16,AC0069(Pax4)-f13,AC0069(Pax4)-f5,AC0069(Pax4)-f2,AC0066/AC0052(Gli1/Gli2/Bcl11B)-f17,AC0069/AC0065(Pax4/Klf4)-f15,AC0069/AC0068/AC0033(Pax4/Pax5/Hes1)-f7,AC0048/AC0069(Gata1::Tal1/Pax4)-f1,AC0069/AC0074(Pax4/Ikzf3)-f21,AC0069(Pax4)-f9,0.5459209,0.3470549,0.31540945,0.2952279,0.2926467,0.2923348,0.264112,0.23866472,0.14733481,-0.007607106
