CNN,Seed,tf1,tf2,tf3,tf4,tf5,tf6,tf7,tf8,tf9,tf10,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10
10,223,AC0069(Pax4)-f8,AC0069(Pax4)-f3,AC0069(Pax4)-f4,AC0069(Pax4)-f1,1.3045379,0.84792614,0.73141825,0.7025737,,,,,,,,,,,,
10,276,AC0069(Pax4)-f2,AC0069(Pax4)-f3,1.0201651,0.8189688,,,,,,,,,,,,,,,,
10,291,AC0069(Pax4)-f8,AC0069/AC0074/AC0070(Pax4/Ikzf3/Wt1)-f0,AC0069(Pax4)-f4,AC0069(Pax4)-f7,AC0069/AC0012(Pax4/Hoxd8)-f3,1.2295084,1.1038536,1.0628959,1.0397773,0.9838833,,,,,,,,,,
10,832,AC0069(Pax4)-f9,AC0069(Pax4)-f8,AC0069(Pax4)-f1,AC0069(Pax4)-f6,1.0298018,1.0146728,0.7869449,0.7334306,,,,,,,,,,,,
10,490,AC0069(Pax4)-f9,AC0069(Pax4)-f7,AC0069(Pax4)-f2,AC0069(Pax4)-f4,AC0069(Pax4)-f6,1.0660114,1.0616812,0.9350036,0.85504264,0.72660136,,,,,,,,,,
15,223,AC0069/AC0068(Pax4/Pax5)-f1,AC0069/AC0012(Pax4/Lhx1)-f10,AC0069(Pax4)-f13,AC0069(Pax4)-f7,AC0069/AC0048(Pax4/Gata1::Tal1)-f14,0.7507736,0.6980099,0.654614,0.62522304,0.49661806,,,,,,,,,,
15,276,AC0069/AC0074(Pax4/Ikzf3)-f5,AC0069(Pax4)-f7,AC0069(Pax4)-f0,AC0070(Wt1)-f14,AC0065/AC0069(Klf4/Pax4)-f2,AC0069(Pax4)-f8,AC0069(Pax4)-f12,AC0066(Gli2/Gli1)-f10,0.8103457,0.7087785,0.70116955,0.6374997,0.63406706,0.5174622,0.41346547,-0.018396532,,,,
15,291,AC0069(Pax4)-f5,AC0069(Pax4)-f9,AC0069(Pax4)-f2,AC0079(Bcl6)-f6,AC0069(Pax4)-f4,AC0069(Pax4)-f3,0.6680218,0.6661734,0.63751596,0.59587663,0.5886275,0.30765408,,,,,,,,
15,832,AC0069(Pax4)-f13,AC0069(Pax4)-f10,AC0069(Pax4)-f12,0.87767947,0.65800965,0.5869213,,,,,,,,,,,,,,
15,930,AC0073/AC0069(Prdm5/Pax4)-f6,AC0069(Pax4)-f12,AC0069(Pax4)-f4,AC0065(Klf4)-f10,AC0069(Pax4)-f2,AC0069(Pax4)-f1,AC0069(Pax4)-f11,AC0069(Pax4)-f3,AC0081(Zfp809)-f13,0.7358688,0.7344714,0.67259157,0.6650027,0.60848486,0.57705677,0.5507816,0.51028645,0.18016383,,
20,223,AC0069(Pax4)-f4,AC0069(Pax4)-f19,AC0069(Pax4)-f13,AC0069(Pax4)-f11,AC0069(Pax4)-f2,AC0069(Pax4)-f3,AC0048/AC0069(Gata1::Tal1/Pax4)-f7,AC0069(Pax4)-f6,0.4997585,0.4405568,0.42066473,0.42043173,0.41030335,0.38632426,0.365244,0.27863556,,,,
20,276,AC0069(Pax4)-f12,AC0069(Pax4)-f14,AC0069(Pax4)-f11,AC0052/AC0069(Bcl11B/Pax4)-f1,AC0069(Pax4)-f7,AC0069/AC0012(Pax4/Lhx1)-f2,AC0058(Rarb)-f4,0.6482869,0.5387215,0.466859,0.41807112,0.3970755,0.3697902,0.20024908,,,,,,
20,291,AC0069(Pax4)-f6,AC0069(Pax4)-f0,AC0069(Pax4)-f7,AC0069(Pax4)-f3,AC0069(Pax4)-f10,AC0069(Pax4)-f17,AC0069(Pax4)-f2,0.53997904,0.5383025,0.50470304,0.4975401,0.48855707,0.4716489,0.42523044,,,,,,
20,832,AC0069/AC0073(Pax4/Prdm5)-f8,AC0069(Pax4)-f17,AC0069/AC0068(Pax4/Pax5)-f3,AC0069(Pax4)-f2,AC0069(Pax4)-f5,0.50509363,0.46264306,0.347298,0.32047406,0.24972747,,,,,,,,,,
20,350,AC0069(Pax4)-f1,AC0069/AC0079(Pax4/Stat5b)-f0,AC0047/AC0069(Plagl1/Pax4)-f11,AC0069(Pax4)-f6,AC0069(Pax4)-f7,AC0069(Pax4)-f12,AC0069(Pax4)-f3,0.61096174,0.5546447,0.5103849,0.49467093,0.49316752,0.32056507,0.30486625,,,,,,
25,223,AC0069(Pax4)-f14,AC0069(Pax4)-f12,AC0010(Nanog)-f13,AC0069(Pax4)-f11,AC0069(Pax4)-f24,AC0002/AC0012(Stat2/Irf1/Prrx2)-f20,AC0069(Pax4)-f19,AC0069/AC0028(Pax4/Prdm15)-f18,AC0069/AC0064(Pax4/Pparg::Rxra)-f4,AC0047(Plagl1)-f3,0.55463606,0.45196113,0.4359589,0.41547826,0.38132763,0.37095207,0.3273723,0.24076584,0.17257199,0.09214939
25,276,AC0069(Pax4)-f16,AC0069(Pax4)-f13,AC0069(Pax4)-f5,AC0066/AC0052(Gli1/Gli2/Bcl11B)-f17,AC0069(Pax4)-f2,AC0069/AC0074(Pax4/Ikzf3)-f21,AC0048/AC0069(Gata1::Tal1/Pax4)-f1,AC0069/AC0065(Pax4/Klf4)-f15,AC0069/AC0068/AC0033(Pax4/Pax5/Hes1)-f7,AC0069(Pax4)-f9,0.49762875,0.44395268,0.40673408,0.33750573,0.3100559,0.2381728,0.23560251,0.23433915,0.16282076,0.085525915
25,291,AC0001/AC0002/AC0069/AC0011(Foxl2/Irf1/Pax4/Hoxa13/Stat2)-f6,AC0069(Pax4)-f10,AC0069(Pax4)-f18,AC0069(Pax4)-f16,AC0069(Pax4)-f1,AC0069(Pax4)-f7,AC0069/AC0065(Pax4/Klf4)-f0,AC0069(Pax4)-f12,AC0064/AC0069/AC0048/AC0045(Pparg::Rxra/Pax4/Gata1::Tal1/Ebf4)-f8,AC0069(Pax4)-f19,0.433898,0.40227148,0.3717679,0.35573983,0.35403553,0.31308275,0.3096755,0.30811062,0.28882298,0.28488848
25,832,AC0069(Pax4)-f12,AC0069(Pax4)-f21,AC0069(Pax4)-f13,AC0069(Pax4)-f4,AC0069(Pax4)-f20,AC0069(Pax4)-f14,AC0069(Pax4)-f18,AC0070/AC0069(Wt1/Pax4)-f8,AC0069(Pax4)-f1,AC0069(Pax4)-f3,0.44638777,0.41421542,0.3849278,0.36614966,0.362051,0.35375562,0.33878195,0.33206156,0.31665975,0.27282515
25,350,AC0069(Pax4)-f21,AC0069(Pax4)-f3,AC0069(Pax4)-f13,AC0069(Pax4)-f16,AC0069(Pax4)-f10,AC0069(Pax4)-f24,AC0048/AC0069(Gata1::Tal1/Pax4)-f8,AC0001(Foxl2)-f0,AC0069/AC0047(Pax4/Plagl1)-f5,0.5410998,0.49771354,0.4398688,0.40994716,0.3480319,0.25896916,0.2582988,0.2450388,0.12233784,,
30,223,AC0069(Pax4)-f19,AC0069/AC0073(Pax4/Prdm5)-f26,AC0069(Pax4)-f5,AC0069(Pax4)-f11,AC0069(Pax4)-f16,AC0069(Pax4)-f12,AC0064/AC0058(Pparg::Rxra/NR5A1)-f15,AC0073/AC0069(Prdm5/Pax4)-f20,AC0069(Pax4)-f13,AC0069(Pax4)-f7,0.49997982,0.46037725,0.4573296,0.4384943,0.40624052,0.38825372,0.35600713,0.3545061,0.32679617,0.28323936
30,276,AC0069(Pax4)-f12,AC0069(Pax4)-f19,AC0069(Pax4)-f7,AC0069(Pax4)-f11,AC0069(Pax4)-f29,AC0069(Pax4)-f0,AC0069(Pax4)-f5,AC0069(Pax4)-f26,AC0069(Pax4)-f8,AC0069(Pax4)-f15,0.50787824,0.44331014,0.37760913,0.37386438,0.3411986,0.29638398,0.25283244,0.24062578,0.19337662,0.18947141
30,291,AC0069(Pax4)-f15,AC0069(Pax4)-f29,AC0069(Pax4)-f12,AC0069/AC0048(Pax4/Gata1::Tal1)-f9,AC0069(Pax4)-f20,AC0069/AC0029(Pax4/Zic3)-f19,AC0069(Pax4)-f5,AC0069(Pax4)-f25,AC0069(Pax4)-f13,AC0069(Pax4)-f8,0.3923424,0.36061862,0.33753768,0.3324647,0.3038259,0.28473258,0.2798623,0.27388766,0.1405904,0.08244373
30,832,AC0069(Pax4)-f19,AC0069(Pax4)-f6,AC0069(Pax4)-f7,AC0069(Pax4)-f24,AC0069(Pax4)-f23,AC0069(Pax4)-f2,AC0063(Hnf1A)-f11,AC0069(Pax4)-f9,AC0069(Pax4)-f5,AC0069(Pax4)-f18,0.39298737,0.38552183,0.37824517,0.36814004,0.3335673,0.31108326,0.3091279,0.26801324,0.22165903,0.19986525
30,930,AC0069(Pax4)-f27,AC0069(Pax4)-f15,AC0069(Pax4)-f6,AC0069(Pax4)-f11,AC0069(Pax4)-f8,AC0069(Pax4)-f20,AC0069(Pax4)-f21,AC0069(Pax4)-f3,AC0069(Pax4)-f26,AC0069(Pax4)-f16,0.4025816,0.40138352,0.37100556,0.34761724,0.3462678,0.32245362,0.30534583,0.3024371,0.2929089,0.2814933
35,223,AC0069/AC0073(Pax4/Prdm5)-f29,AC0069(Pax4)-f21,AC0069(Pax4)-f22,AC0069(Pax4)-f16,AC0069(Pax4)-f6,AC0069(Pax4)-f11,AC0069(Pax4)-f20,AC0069(Pax4)-f27,AC0069(Pax4)-f26,AC0069(Pax4)-f19,0.37795848,0.34310517,0.32255352,0.30194288,0.28890446,0.28492874,0.28028348,0.25126272,0.23131467,0.20940681
35,276,AC0064/AC0070/AC0069(Pparg::Rxra/Wt1/Pax4)-f30,AC0069(Pax4)-f10,AC0069(Pax4)-f6,AC0005(Sox3)-f12,AC0069(Pax4)-f0,AC0069(Pax4)-f34,AC0069/AC0073(Pax4/Prdm5)-f28,AC0069/AC0047(Pax4/Plagl1)-f18,AC0069(Pax4)-f16,AC0069(Pax4)-f33,0.36119688,0.36092722,0.34566814,0.332803,0.32529053,0.27511388,0.26473755,0.2233095,0.22173859,0.21597815
35,291,AC0069(Pax4)-f17,AC0069(Pax4)-f12,AC0069(Pax4)-f31,AC0069(Pax4)-f11,AC0069(Pax4)-f29,AC0069(Pax4)-f23,AC0069(Pax4)-f1,AC0069/AC0012(Pax4/Lhx1)-f0,AC0069(Pax4)-f18,AC0069(Pax4)-f3,0.4481034,0.3582369,0.3329601,0.31742138,0.30719456,0.30490372,0.2995563,0.29186332,0.28435412,0.27932265
35,832,AC0069(Pax4)-f0,AC0069(Pax4)-f31,AC0069/AC0064(Pax4/Pparg::Rxra)-f25,AC0073/AC0069/AC0063(Prdm5/Pax4/Hnf1A)-f32,AC0069(Pax4)-f21,AC0069(Pax4)-f22,AC0069(Pax4)-f11,AC0069(Pax4)-f5,AC0069(Pax4)-f18,AC0069(Pax4)-f12,0.36812642,0.35727444,0.32298854,0.3099767,0.3094373,0.3079961,0.3004575,0.28254744,0.2720799,0.2718856
35,350,AC0069(Pax4)-f34,AC0069(Pax4)-f32,AC0011/AC0012(Hoxd9/Lhx1)-f5,AC0069(Pax4)-f8,AC0069/AC0012(Pax4/Lhx1)-f7,AC0069(Pax4)-f15,AC0069/AC0063(Pax4/Lef1)-f2,AC0069/AC0063(Pax4/Lef1)-f21,AC0069(Pax4)-f9,AC0069(Pax4)-f13,0.39976904,0.37657243,0.34956694,0.32065073,0.308009,0.29183993,0.28014567,0.2770129,0.22552596,0.22197416
40,223,AC0069(Pax4)-f21,AC0069(Pax4)-f26,AC0069(Pax4)-f28,AC0069/AC0065/AC0072/AC0073/AC0002(Pax4/Klf4/Nfat5/Prdm5/Stat2)-f38,AC0069/AC0073(Pax4/Prdm5)-f14,AC0069(Pax4)-f32,AC0069(Pax4)-f25,AC0069(Pax4)-f33,AC0069/AC0029(Pax4/Zic3)-f10,AC0069(Pax4)-f39,0.3868512,0.33500805,0.31407437,0.30460924,0.28988096,0.28789663,0.27156222,0.2541327,0.25395572,0.24051102
