num_cnns,batch,lr,drop_out,seed,mse_p,rmse_p,mae_p,r2_p,pearson_corr_p,spearman_corr_r,mse_r,rmse_r,mae_r,r2_r,pearson_corr_r,best_pearson_epoch,best_r2_epoch
10,96,0.00010,0.3,544,0.052975412,0.23016389,0.1739833,0.3232498983028771,0.58950776,0.5575305566309678,0.05252956,0.22919329,0.17298268,0.3289455925005641,0.58444387,63,64
10,96,0.00030,0.3,544,0.05192979,0.22788109,0.17184047,0.3366075097947485,0.59391725,0.5630822593386963,0.05192979,0.22788109,0.17184047,0.3366075097947485,0.59391725,35,35
20,96,0.00010,0.3,544,0.05261987,0.22939022,0.1723082,0.32779186864889687,0.59445345,0.5617038123033754,0.05217715,0.22842318,0.17149347,0.3334476089071783,0.5940995,85,71
20,96,0.00030,0.3,544,0.05296036,0.23013118,0.17274866,0.3234422485323417,0.59387654,0.5668539658888695,0.052305095,0.22870307,0.17244066,0.331813071105479,0.5923409,26,21
30,96,0.00010,0.3,544,0.05134176,0.2265872,0.16984087,0.34411944899438984,0.6035597,0.5690547895728791,0.05097934,0.22578605,0.169577,0.34874932940980696,0.5991988,75,65
30,96,0.00030,0.3,544,0.05314822,0.23053898,0.17405613,0.3210422675743806,0.6043721,0.5735409784753722,0.05179015,0.2275745,0.17076011,0.3383913204424699,0.59952164,26,14
40,96,0.00010,0.3,544,0.052718718,0.22960557,0.17273603,0.326529133218354,0.6023921,0.5722424890063906,0.051799245,0.22759448,0.17109083,0.3382751667768298,0.5971211,75,60
40,96,0.00030,0.3,544,0.052484702,0.2290954,0.17238195,0.32951854623630683,0.60267025,0.5741063958440605,0.05241289,0.22893861,0.17309022,0.3304360173556785,0.6001285,25,21
50,96,0.00010,0.3,544,0.05038928,0.22447556,0.16886656,0.35628723412202457,0.6148217,0.5824305333541767,0.04987122,0.22331865,0.1681857,0.36290527277711726,0.6135425,55,49
50,96,0.00030,0.3,544,0.05036688,0.22442566,0.16773416,0.3565733295410146,0.61189896,0.5850842515661772,0.05036688,0.22442566,0.16773416,0.3565733295410146,0.61189896,25,25
60,96,0.00010,0.3,544,0.050566185,0.22486927,0.16906245,0.3540272649185624,0.60774744,0.5792103856170987,0.050417878,0.22453925,0.16855055,0.35592189667358254,0.60565144,51,41
60,96,0.00030,0.3,544,0.053001817,0.23022124,0.17359518,0.32291265520007706,0.6091714,0.5858896055244928,0.051092062,0.22603554,0.16965012,0.3473093352760299,0.6082127,20,31
70,96,0.00010,0.3,544,0.05010146,0.22383355,0.16925894,0.3599640411454178,0.61232996,0.5836469828412002,0.05010146,0.22383355,0.16925894,0.3599640411454178,0.61232996,51,51
70,96,0.00030,0.3,544,0.05224042,0.22856164,0.17165479,0.33263928639645546,0.60915345,0.5870999966658116,0.051729012,0.22744013,0.17104213,0.3391723949174916,0.60640174,26,25
80,96,0.00010,0.3,544,0.049968164,0.2235356,0.16791053,0.3616668761978101,0.6172649,0.5874737931167537,0.04957819,0.2226616,0.16758847,0.3666487285109139,0.6139034,51,41
80,96,0.00030,0.3,544,0.052993495,0.23020317,0.17336242,0.32301889742580003,0.6138274,0.5774243283412066,0.051860746,0.22772954,0.17198835,0.3374895034057612,0.6060678,21,10
90,96,0.00010,0.3,544,0.04953111,0.22255586,0.16683388,0.36725021354291787,0.6159073,0.5844791987515425,0.04953111,0.22255586,0.16683388,0.36725021354291787,0.6159073,58,58
90,96,0.00030,0.3,544,0.051643707,0.22725251,0.17179611,0.340262205440623,0.6086372,0.5819994751177902,0.051643707,0.22725251,0.17179611,0.340262205440623,0.6086372,10,10
100,96,0.00010,0.3,544,0.049917094,0.22342134,0.16724133,0.3623193113712778,0.6208671,0.5882062809603054,0.04923689,0.22189388,0.1661051,0.3710087050384232,0.61681813,54,41
