tf_name,importance_score,activated_samples,cnn_number,seed_number
AC0069/AC0065/AC0070/AC0064(Pax4/Klf4/SP1/Pparg::Rxra)-f6,1.0360355,9072,10,520
AC0069(Pax4)-f2,1.0315708,9794,10,520
AC0069(Pax4)-f4,0.8732013,7929,10,520
f8,0.8255299,9310,10,520
f1,0.7929023,9009,10,520
AC0069(Pax4)-f0,0.7753939,9792,10,520
f3,0.7466843,8611,10,520
AC0069(Pax4)-f7,0.73374677,9542,10,520
AC0069(Pax4)-f5,0.6588678,9472,10,520
AC0069(Pax4)-f9,0.63556516,9844,10,520
AC0069(Pax4)-f4,1.1647812,10293,10,116
f1,0.85585827,4243,10,116
f7,0.7779323,8631,10,116
f2,0.7739191,3585,10,116
AC0069/AC0073/AC0068(Pax4/Prdm5/Pax5)-f0,0.7628011,8650,10,116
AC0069/AC0058(Pax4/NR5A1)-f9,0.744836,10619,10,116
AC0069(Pax4)-f8,0.6782855,10428,10,116
f6,0.6751065,6654,10,116
f3,0.21490659,3339,10,116
AC0069(Pax4)-f5,0.16763794,10462,10,116
f1,0.99482346,4121,10,732
f0,0.9840849,8439,10,732
AC0077/AC0069(Prdm4/Pax4)-f3,0.9652132,9246,10,732
AC0069(Pax4)-f4,0.9249753,9080,10,732
AC0069(Pax4)-f7,0.86687875,9095,10,732
f2,0.8071522,7368,10,732
f8,0.78901744,7236,10,732
f5,0.6673768,5178,10,732
f9,0.5552994,1480,10,732
f6,-0.0035376686,2343,10,732
AC0069(Pax4)-f4,1.1270924,10645,10,234
AC0069(Pax4)-f9,0.9660704,10621,10,234
f8,0.94299376,9664,10,234
f7,0.92307997,10586,10,234
f3,0.8388158,5483,10,234
f0,0.7867039,9410,10,234
f1,0.7677345,7074,10,234
AC0069(Pax4)-f5,0.6674633,10235,10,234
f2,0.6458012,5176,10,234
AC0069/AC0064(Pax4/Pparg::Rxra)-f6,0.04579767,10628,10,234
AC0047(Plagl1)-f8,1.4135582,4286,10,490
AC0048(Gata1::Tal1)-f6,1.0678557,10122,10,490
f0,0.99157226,9167,10,490
AC0069/AC0065(Pax4/Klf4)-f3,0.9744058,8217,10,490
f5,0.8554117,2413,10,490
f1,0.8422403,5856,10,490
f7,0.6136471,2618,10,490
f2,0.42324132,3950,10,490
AC0069(Pax4)-f4,0.29139885,9860,10,490
f9,0.216833,9026,10,490
f13,1.1631429,5166,15,520
AC0069/AC0074(Pax4/Ikzf3)-f14,0.75288296,10453,15,520
AC0069(Pax4)-f11,0.74381953,10533,15,520
AC0069(Pax4)-f10,0.74228686,10142,15,520
AC0069(Pax4)-f0,0.7249185,10361,15,520
AC0069(Pax4)-f6,0.65396744,7478,15,520
AC0069/AC0033(Pax4/Hes1)-f1,0.6132924,8739,15,520
AC0068(Pax5)-f9,0.6082361,7398,15,520
AC0069(Pax4)-f8,0.5859467,10538,15,520
AC0069(Pax4)-f5,0.5432029,9645,15,520
f7,0.24626341,2621,15,520
f4,0.20395952,4770,15,520
AC0066(Gli2/Gli1)-f3,0.18994358,2405,15,520
f12,0.0012784066,2064,15,520
f2,-0.008329389,2367,15,520
f9,0.905197,9356,15,116
f0,0.82908523,8777,15,116
AC0069(Pax4)-f11,0.7904551,11224,15,116
AC0069(Pax4)-f10,0.78946096,11267,15,116
AC0069(Pax4)-f7,0.71715736,11267,15,116
f1,0.6500982,5758,15,116
f12,0.64467,5478,15,116
f13,0.5577844,4725,15,116
AC0069(Pax4)-f14,0.5424061,10898,15,116
f3,0.5040442,10411,15,116
f6,0.025297504,3190,15,116
f2,0.009178137,2397,15,116
f4,3.0966843e-05,2554,15,116
f5,0.0,1332,15,116
f8,0.0,492,15,116
f13,0.7560792,5990,15,732
AC0073/AC0069(Prdm5/Pax4)-f11,0.6833076,9876,15,732
AC0069(Pax4)-f5,0.66261286,7717,15,732
AC0069(Pax4)-f14,0.6427445,8089,15,732
AC0069(Pax4)-f3,0.63158077,10790,15,732
AC0045(Ebf4)-f9,0.53509414,8212,15,732
AC0069(Pax4)-f0,0.5153531,9692,15,732
f8,0.477527,8290,15,732
f7,0.43133885,4582,15,732
f1,0.42717043,4736,15,732
f12,0.29354224,3863,15,732
f2,0.27183348,5035,15,732
f6,0.10420057,2394,15,732
f4,0.0,1327,15,732
AC0064(Nr2f6)-f10,0.0,1193,15,732
f8,0.7816211,10621,15,234
AC0069/AC0074(Pax4/Ikzf3)-f2,0.7764953,10323,15,234
f11,0.73668325,6649,15,234
f0,0.7251725,7330,15,234
AC0069/AC0073(Pax4/Prdm5)-f3,0.69582075,10001,15,234
AC0069(Pax4)-f12,0.660585,10621,15,234
f7,0.6034365,9189,15,234
AC0069(Pax4)-f14,0.58878565,9789,15,234
AC0069(Pax4)-f13,0.44193575,7225,15,234
AC0066/AC0028(Gli1/Prdm15/Gli2)-f10,0.40515938,5809,15,234
f4,0.2647104,2441,15,234
f6,0.17869493,3029,15,234
f1,0.14657323,487,15,234
f5,0.0,1249,15,234
f9,0.0,740,15,234
AC0069(Pax4)-f3,0.8361801,10590,15,930
f0,0.8338571,4680,15,930
AC0069(Pax4)-f8,0.8224099,9865,15,930
AC0069(Pax4)-f6,0.6960516,9627,15,930
f1,0.6534419,4634,15,930
AC0069(Pax4)-f7,0.64508474,10338,15,930
f13,0.62389266,8928,15,930
f9,0.5817944,8481,15,930
AC0069(Pax4)-f12,0.5262691,9941,15,930
AC0054(En1)-f4,0.35791275,6943,15,930
f11,0.3333429,2404,15,930
f10,0.24968873,2595,15,930
f2,0.23601429,2554,15,930
f5,0.17601645,362,15,930
f14,-0.032111593,1982,15,930
f13,0.5673328,9015,20,520
AC0069(Pax4)-f11,0.5164463,11264,20,520
f5,0.5039402,8282,20,520
AC0069(Pax4)-f16,0.49797553,11492,20,520
f12,0.49095276,10317,20,520
AC0069(Pax4)-f9,0.46702075,9557,20,520
f18,0.45684543,10952,20,520
AC0069(Pax4)-f19,0.4490751,9760,20,520
f2,0.43764758,8178,20,520
AC0069(Pax4)-f8,0.42723536,10062,20,520
AC0069(Pax4)-f4,0.38622448,11314,20,520
f0,0.3815248,5731,20,520
AC0026/AC0023(Ptf1a/Neurod2/Atoh1/Bhlha15/Msgn1)-f15,0.37399742,6884,20,520
f6,0.23602796,3729,20,520
AC0069(Pax4)-f14,0.06378875,9738,20,520
f7,0.05871605,3176,20,520
f1,0.0,2694,20,520
f17,0.0,2693,20,520
f3,-0.006869884,2262,20,520
f10,-0.007664419,1476,20,520
f0,0.81014967,231,20,116
f2,0.747906,8836,20,116
f4,0.6660301,9977,20,116
f14,0.64147335,6596,20,116
