tf_name,importance_score,activated_samples,cnn_number,seed_number
AC0069(Pax4)-f9,1.0400553,9844,10,520
AC0069(Pax4)-f7,0.9726456,9542,10,520
AC0069(Pax4)-f0,0.89280164,9792,10,520
f1,0.83712655,9009,10,520
f8,0.83324724,9310,10,520
AC0069(Pax4)-f5,0.7924494,9472,10,520
AC0069(Pax4)-f4,0.7533015,7929,10,520
AC0069/AC0065/AC0070/AC0064(Pax4/Klf4/SP1/Pparg::Rxra)-f6,0.6904042,9072,10,520
AC0069(Pax4)-f2,0.62996197,9794,10,520
f3,0.6033275,8611,10,520
AC0069/AC0073/AC0068(Pax4/Prdm5/Pax5)-f0,1.0888942,8650,10,116
f7,0.89718395,8631,10,116
AC0069/AC0058(Pax4/NR5A1)-f9,0.89357555,10619,10,116
f6,0.86523855,6654,10,116
AC0069(Pax4)-f8,0.7422336,10428,10,116
f1,0.72144413,4243,10,116
AC0069(Pax4)-f4,0.72059333,10293,10,116
f2,0.4832961,3585,10,116
AC0069(Pax4)-f5,0.46850666,10462,10,116
f3,0.22145827,3339,10,116
f1,1.1443619,4121,10,732
f8,1.0148041,7236,10,732
f2,0.9649735,7368,10,732
f5,0.89492124,5178,10,732
f9,0.8456053,1480,10,732
AC0069(Pax4)-f7,0.83087045,9095,10,732
AC0077/AC0069(Prdm4/Pax4)-f3,0.78712684,9246,10,732
AC0069(Pax4)-f4,0.67479026,9080,10,732
f0,0.66557866,8439,10,732
f6,-0.0014989316,2343,10,732
f3,1.2201234,5483,10,234
AC0069(Pax4)-f9,1.1210402,10621,10,234
AC0069(Pax4)-f4,1.018109,10645,10,234
f8,0.9107666,9664,10,234
f1,0.8000406,7074,10,234
f2,0.6869168,5176,10,234
f7,0.6365565,10586,10,234
f0,0.6311186,9410,10,234
AC0069(Pax4)-f5,0.593242,10235,10,234
AC0069/AC0064(Pax4/Pparg::Rxra)-f6,0.27023146,10628,10,234
f0,1.1082034,9167,10,490
AC0069/AC0065(Pax4/Klf4)-f3,1.0949411,8217,10,490
AC0047(Plagl1)-f8,0.9869219,4286,10,490
AC0048(Gata1::Tal1)-f6,0.93646884,10122,10,490
f1,0.8495442,5856,10,490
f2,0.5779642,3950,10,490
AC0069(Pax4)-f4,0.53051335,9860,10,490
f5,0.46369588,2413,10,490
f7,0.41842845,2618,10,490
f9,0.35059902,9026,10,490
f13,1.0368879,5166,15,520
AC0069(Pax4)-f5,0.8738291,9645,15,520
AC0069(Pax4)-f8,0.759467,10538,15,520
AC0069(Pax4)-f11,0.7364506,10533,15,520
AC0069(Pax4)-f6,0.69270587,7478,15,520
AC0069/AC0074(Pax4/Ikzf3)-f14,0.67041653,10453,15,520
AC0069/AC0033(Pax4/Hes1)-f1,0.66657394,8739,15,520
AC0069(Pax4)-f0,0.6084098,10361,15,520
AC0069(Pax4)-f10,0.5383859,10142,15,520
AC0068(Pax5)-f9,0.44488132,7398,15,520
AC0066(Gli2/Gli1)-f3,0.258395,2405,15,520
f7,0.22610205,2621,15,520
f4,0.08022512,4770,15,520
f12,-0.0017512719,2064,15,520
f2,-0.021102645,2367,15,520
AC0069(Pax4)-f14,0.839733,10898,15,116
AC0069(Pax4)-f11,0.8155943,11224,15,116
AC0069(Pax4)-f10,0.8145083,11267,15,116
AC0069(Pax4)-f7,0.7145239,11267,15,116
f0,0.66473514,8777,15,116
f9,0.66192704,9356,15,116
f1,0.6511543,5758,15,116
f3,0.54134554,10411,15,116
f13,0.5012292,4725,15,116
f12,0.49761203,5478,15,116
f2,0.00834119,2397,15,116
f4,3.395341e-05,2554,15,116
f5,0.0,1332,15,116
f8,0.0,492,15,116
f6,-0.015636373,3190,15,116
f13,0.79970473,5990,15,732
f1,0.6776941,4736,15,732
AC0069(Pax4)-f0,0.6057657,9692,15,732
f8,0.5859907,8290,15,732
AC0069(Pax4)-f14,0.5659452,8089,15,732
AC0069(Pax4)-f5,0.5447847,7717,15,732
AC0073/AC0069(Prdm5/Pax4)-f11,0.43246317,9876,15,732
AC0069(Pax4)-f3,0.4317205,10790,15,732
AC0045(Ebf4)-f9,0.37903655,8212,15,732
f6,0.2785507,2394,15,732
f7,0.27246502,4582,15,732
f2,0.21852487,5035,15,732
