tf_name,importance_score,activated_samples,cnn_number,seed_number
f2,0.12269442,1418,10,283
f3,0.0523521,3298,10,283
f4,0.02777088,11098,10,283
AC0069/AC0074(Pax4/Ikzf3)-f8,-0.021489205,11890,10,283
AC0069/AC0072(Pax4/Nfat5)-f9,-0.02776781,9363,10,283
AC0069(Pax4)-f5,-0.028649194,10919,10,283
AC0069(Pax4)-f7,-0.034388743,10821,10,283
f6,-0.03599523,3023,10,283
AC0069(Pax4)-f1,-0.04054921,11513,10,283
f0,-0.0498928,5174,10,283
f8,0.0923607,5294,10,791
AC0069(Pax4)-f6,0.047608893,10673,10,791
AC0069(Pax4)-f0,0.046012394,10648,10,791
f4,0.044313256,4245,10,791
AC0069(Pax4)-f9,0.03694865,11239,10,791
AC0069(Pax4)-f5,0.03461511,7396,10,791
f1,-0.0008824628,2318,10,791
f2,-0.015141474,2977,10,791
f3,-0.020347169,8499,10,791
f7,-0.026094707,7892,10,791
f7,0.036442727,6022,10,965
f6,0.02824595,7367,10,965
AC0069(Pax4)-f4,0.023868693,11732,10,965
f5,0.02346444,1710,10,965
f3,0.01930002,2843,10,965
f2,0.014824668,8978,10,965
f1,-0.025638543,3397,10,965
f9,-0.034682777,6560,10,965
AC0069(Pax4)-f8,-0.042060718,10743,10,965
f0,-0.054246962,1105,10,965
f6,0.044859182,7923,10,566
f0,0.033185102,10854,10,566
f7,0.02629529,5192,10,566
f4,0.020813944,9462,10,566
AC0069(Pax4)-f1,0.02001152,11725,10,566
f9,0.0030015884,2719,10,566
f8,-0.0013785938,1408,10,566
f5,-0.018977037,6578,10,566
f2,-0.02662045,4666,10,566
f3,-0.03685368,1478,10,566
AC0028(Prdm15)-f1,0.047997173,10667,15,283
AC0069(Pax4)-f0,0.04112696,11482,15,283
AC0069/AC0065(Pax4/Klf4)-f12,0.02768216,10933,15,283
f13,0.022257227,749,15,283
f10,0.010577782,3204,15,283
f7,0.0,17,15,283
f14,-0.009041357,4626,15,283
f5,-0.010514,8531,15,283
f3,-0.0155094275,1435,15,283
AC0069/AC0073/AC0064(Pax4/Prdm5/Pparg::Rxra)-f6,-0.020179758,9935,15,283
f11,-0.023165043,2577,15,283
f9,-0.025423711,7873,15,283
AC0069/AC0066(Pax4/Gli1)-f2,-0.02585623,10855,15,283
f4,-0.029537018,2541,15,283
f8,-0.03644882,9528,15,283
f12,0.061806045,5033,15,967
f3,0.03948906,5908,15,967
f5,0.036721416,5421,15,967
AC0069(Pax4)-f6,0.03550687,10773,15,967
AC0048(Gata1::Tal1)-f1,0.031639438,10700,15,967
AC0055(Atf1)-f7,0.028028404,3273,15,967
AC0069/AC0070(Pax4/Wt1)-f2,0.020574555,8524,15,967
