,cluster,source_id,tf_name,family_name,motif_type,PMID,cluster_annotation
0,AC0001,MA0105.1,NFKB1,Rel homology region (RHR) factors,Unknown,8449662,Rel homology region (RHR) factors
1,AC0002,filter20,filter20,Unknown,Unknown,Unknown,Unknown
2,AC0003,MA0154.1,EBF1,Rel homology region (RHR) factors,Unknown,17916232,Rel homology region (RHR) factors
3,AC0003,MA1604.1,Ebf2,Rel homology region (RHR) factors,Unknown,23499423,Rel homology region (RHR) factors
4,AC0003,MA2122.1,Ebf4,Rel homology region (RHR) factors,Unknown,35939714,Rel homology region (RHR) factors
5,AC0004,MA1999.1,Prdm5,C2H2 zinc finger factors,Unknown,22589746,C2H2 zinc finger factors
6,AC0005,filter33,filter33,Unknown,Unknown,Unknown,Unknown
7,AC0006,filter11,filter11,Unknown,Unknown,Unknown,Unknown
8,AC0006,filter12,filter12,Unknown,Unknown,Unknown,Unknown
9,AC0006,filter13,filter13,Unknown,Unknown,Unknown,Unknown
10,AC0006,filter14,filter14,Unknown,Unknown,Unknown,Unknown
11,AC0006,filter15,filter15,Unknown,Unknown,Unknown,Unknown
12,AC0006,filter17,filter17,Unknown,Unknown,Unknown,Unknown
13,AC0006,filter18,filter18,Unknown,Unknown,Unknown,Unknown
14,AC0006,filter19,filter19,Unknown,Unknown,Unknown,Unknown
15,AC0006,filter22,filter22,Unknown,Unknown,Unknown,Unknown
16,AC0006,filter23,filter23,Unknown,Unknown,Unknown,Unknown
17,AC0006,filter24,filter24,Unknown,Unknown,Unknown,Unknown
18,AC0006,filter25,filter25,Unknown,Unknown,Unknown,Unknown
19,AC0006,filter26,filter26,Unknown,Unknown,Unknown,Unknown
20,AC0006,filter3,filter3,Unknown,Unknown,Unknown,Unknown
21,AC0006,filter31,filter31,Unknown,Unknown,Unknown,Unknown
22,AC0006,filter34,filter34,Unknown,Unknown,Unknown,Unknown
23,AC0006,filter36,filter36,Unknown,Unknown,Unknown,Unknown
24,AC0006,filter37,filter37,Unknown,Unknown,Unknown,Unknown
25,AC0006,filter38,filter38,Unknown,Unknown,Unknown,Unknown
26,AC0006,filter4,filter4,Unknown,Unknown,Unknown,Unknown
27,AC0006,filter41,filter41,Unknown,Unknown,Unknown,Unknown
28,AC0006,filter42,filter42,Unknown,Unknown,Unknown,Unknown
29,AC0006,filter43,filter43,Unknown,Unknown,Unknown,Unknown
30,AC0006,filter44,filter44,Unknown,Unknown,Unknown,Unknown
31,AC0006,filter45,filter45,Unknown,Unknown,Unknown,Unknown
32,AC0006,filter47,filter47,Unknown,Unknown,Unknown,Unknown
33,AC0006,filter48,filter48,Unknown,Unknown,Unknown,Unknown
34,AC0006,filter52,filter52,Unknown,Unknown,Unknown,Unknown
35,AC0006,filter54,filter54,Unknown,Unknown,Unknown,Unknown
