,cluster,source_id,tf_name,family_name,motif_type,PMID,cluster_annotation
0,AC0001,MA0030.2,FOXF2,Fork head/winged helix factors,Unknown,7957066,Fork head/winged helix factors
1,AC0001,MA0031.2,FOXD1,Fork head/winged helix factors,Unknown,7957066,Fork head/winged helix factors
2,AC0001,MA0032.2,FOXC1,Fork head/winged helix factors,Unknown,17993506,Fork head/winged helix factors
3,AC0001,MA0033.2,FOXL1,Fork head/winged helix factors,Unknown,23836653,Fork head/winged helix factors
4,AC0001,MA0041.3,FOXD3,Fork head/winged helix factors,Unknown,8139574,Fork head/winged helix factors
5,AC0001,MA0042.2,FOXI1,Fork head/winged helix factors,Unknown,23836653,Fork head/winged helix factors
6,AC0001,MA0047.4,FOXA2,Fork head/winged helix factors,Unknown,28644006,Fork head/winged helix factors
7,AC0001,MA0148.5,FOXA1,Fork head/winged helix factors,Unknown,18798982,Fork head/winged helix factors
8,AC0001,MA0479.2,FOXH1,Fork head/winged helix factors,Unknown,9702198,Fork head/winged helix factors
9,AC0001,MA0481.4,FOXP1,Fork head/winged helix factors,Unknown,21924763,Fork head/winged helix factors
10,AC0001,MA0593.2,FOXP2,Fork head/winged helix factors,Unknown,23625967,Fork head/winged helix factors
11,AC0001,MA0613.1,FOXG1,Fork head/winged helix factors,Unknown,15342912,Fork head/winged helix factors
12,AC0001,MA0845.1,FOXB1,Fork head/winged helix factors,Unknown,7739038,Fork head/winged helix factors
13,AC0001,MA0846.2,FOXC2,Fork head/winged helix factors,Unknown,23354101,Fork head/winged helix factors
14,AC0001,MA0847.4,FOXD2,Fork head/winged helix factors,Unknown,28520732,Fork head/winged helix factors
15,AC0001,MA0848.1,FOXO4,Fork head/winged helix factors,Unknown,10880363,Fork head/winged helix factors
16,AC0001,MA0849.1,FOXO6,Fork head/winged helix factors,Unknown,10880363,Fork head/winged helix factors
17,AC0001,MA0850.1,FOXP3,Fork head/winged helix factors,Unknown,20554955,Fork head/winged helix factors
18,AC0001,MA0852.3,FOXK1,Fork head/winged helix factors,Unknown,16624804,Fork head/winged helix factors
19,AC0001,MA1103.3,FOXK2,Fork head/winged helix factors,Unknown,26578569,Fork head/winged helix factors
20,AC0001,MA1487.3,FOXE1,Fork head/winged helix factors,Unknown,23675434,Fork head/winged helix factors
21,AC0001,MA1489.1,FOXN3,Fork head/winged helix factors,Unknown,30826165,Fork head/winged helix factors
22,AC0001,MA1683.2,FOXA3,Fork head/winged helix factors,Unknown,19919681,Fork head/winged helix factors
23,AC0001,MA2117.1,FOXP4,Fork head/winged helix factors,Unknown,14701752,Fork head/winged helix factors
24,AC0001,MA2118.1,FOXS1,Fork head/winged helix factors,Unknown,27965437,Fork head/winged helix factors
25,AC0002,MA2098.1,ZNF766,C2H2 zinc finger factors,Unknown,22955616,C2H2 zinc finger factors
26,AC0003,MA0635.2,BARHL2,Homeo domain factors,Unknown,18585359,Homeo domain factors
27,AC0003,MA0877.4,BARHL1,Homeo domain factors,Unknown,18585359,Homeo domain factors
28,AC0004,MA1978.2,ZNF354A,C2H2 zinc finger factors,Unknown,27852650,C2H2 zinc finger factors
29,AC0005,MA2335.1,ZNF558,C2H2 zinc finger factors,Unknown,28273063,C2H2 zinc finger factors
30,AC0006,MA0465.3,CDX2,Homeo domain factors,Unknown,20696899,Homeo domain factors
31,AC0006,MA0878.3,CDX1,Homeo domain factors,Unknown,18585359,Homeo domain factors
32,AC0006,MA0899.2,HOXA10,Homeo domain factors,Unknown,18585359,Homeo domain factors
33,AC0006,MA0901.3,HOXB13,Homeo domain factors,Unknown,23332764,Homeo domain factors
34,AC0006,MA0913.3,HOXD9,Homeo domain factors,Unknown,10523646,Homeo domain factors
35,AC0006,MA1473.2,CDX4,Homeo domain factors,Unknown,18585359,Homeo domain factors
36,AC0007,MA0485.3,HOXC9,Homeo domain factors,Unknown,9079637,Homeo domain factors
37,AC0007,MA0594.3,HOXA9,Homeo domain factors,Unknown,12923056,Homeo domain factors
38,AC0007,MA0651.3,HOXC11,Homeo domain factors,Unknown,18585359,Homeo domain factors
39,AC0007,MA0873.2,HOXD12,Homeo domain factors,Unknown,18585359,Homeo domain factors
40,AC0007,MA0905.2,HOXC10,Homeo domain factors,Unknown,18585359,Homeo domain factors
41,AC0007,MA0906.2,HOXC12,Homeo domain factors,Unknown,18585359,Homeo domain factors
42,AC0007,MA0907.2,HOXC13,Homeo domain factors,Unknown,18585359,Homeo domain factors
