motif_id	cluster	source_id	tf_name	family_name	motif_type	PMID
MA0003.5	AC0107	MA0003.5	TFAP2A	['Basic helix-span-helix factors (bHSH)']	Unknown	23332764
MA0009.2	AC0039	MA0009.2	TBXT	['T-Box factors']	Unknown	7588606
MA0014.4	AC0171	MA0014.4	PAX5	['Paired box factors']	Unknown	8406007
MA0017.3	AC0052	MA0017.3	NR2F1	['Nuclear receptors with C4 zinc fingers']	Unknown	8496174
MA0018.5	AC0070	MA0018.5	CREB1	['Basic leucine zipper factors (bZIP)']	Unknown	17916232
MA0024.3	AC0136	MA0024.3	E2F1	['Fork head/winged helix factors']	Unknown	9372931
MA0025.3	AC0069	MA0025.3	NFIL3	['Basic leucine zipper factors (bZIP)']	Unknown	9122243
MA0027.3	AC0015	MA0027.3	EN1	['Homeo domain factors']	Unknown	8096059
MA0028.3	AC0034	MA0028.3	ELK1	['Tryptophan cluster factors']	Unknown	1425594
MA0030.2	AC0001	MA0030.2	FOXF2	['Fork head/winged helix factors']	Unknown	7957066
MA0031.2	AC0001	MA0031.2	FOXD1	['Fork head/winged helix factors']	Unknown	7957066
MA0032.2	AC0001	MA0032.2	FOXC1	['Fork head/winged helix factors']	Unknown	17993506
MA0033.2	AC0001	MA0033.2	FOXL1	['Fork head/winged helix factors']	Unknown	23836653
MA0035.5	AC0027	MA0035.5	GATA1	['Other C4 zinc finger-type factors']	Unknown	23142663
MA0036.4	AC0027	MA0036.4	GATA2	['Other C4 zinc finger-type factors']	Unknown	8321207
MA0038.3	AC0026	MA0038.3	GFI1	['C2H2 zinc finger factors']	Unknown	8754800
MA0039.5	AC0100	MA0039.5	KLF4	['C2H2 zinc finger factors']	Unknown	28473536
MA0041.3	AC0001	MA0041.3	FOXD3	['Fork head/winged helix factors']	Unknown	8139574
MA0042.2	AC0001	MA0042.2	FOXI1	['Fork head/winged helix factors']	Unknown	23836653
MA0043.4	AC0069	MA0043.4	HLF	['Basic leucine zipper factors (bZIP)']	Unknown	8065331
MA0046.3	AC0020	MA0046.3	HNF1A	['Homeo domain factors']	Unknown	9047360
MA0047.4	AC0001	MA0047.4	FOXA2	['Fork head/winged helix factors']	Unknown	28644006
MA0048.3	AC0046	MA0048.3	NHLH1	['Basic helix-loop-helix factors (bHLH)']	Unknown	8289804
MA0051.2	AC0112	MA0051.2	IRF2	['Tryptophan cluster factors']	Unknown	7687740
MA0052.5	AC0012	MA0052.5	MEF2A	['MADS box factors']	Unknown	25217591
MA0056.3	AC0121	MA0056.3	MZF1	['C2H2 zinc finger factors']	Unknown	8114711
MA0058.4	AC0042	MA0058.4	MAX	['Basic helix-loop-helix factors (bHLH)']	Unknown	22955619
MA0059.2	AC0042	MA0059.2	MAX::MYC	['Basic helix-loop-helix factors (bHLH)', 'Basic helix-loop-helix factors (bHLH)']	Unknown	8265351
MA0060.4	AC0019	MA0060.4	NFYA	['Heteromeric CCAAT-binding factors']	Unknown	9469818
MA0062.4	AC0033	MA0062.4	GABPA	['Tryptophan cluster factors']	Unknown	9461436
MA0063.3	AC0170	MA0063.3	NKX2-5	['Homeo domain factors']	Unknown	27013732
MA0066.2	AC0064	MA0066.2	PPARG	['Nuclear receptors with C4 zinc fingers']	Unknown	11139380
MA0067.3	AC0171	MA0067.3	PAX2	['Paired box factors']	Unknown	8132558
MA0068.2	AC0015	MA0068.2	PAX4	['Paired box factors']	Unknown	10567552
MA0070.2	AC0025	MA0070.2	PBX1	['Homeo domain factors']	Unknown	7910944
MA0072.2	AC0062	MA0072.2	RORA	['Nuclear receptors with C4 zinc fingers']	Unknown	7926749
MA0073.2	AC0086	MA0073.2	RREB1	['C2H2 zinc finger factors']	Unknown	8816445
MA0074.1	AC0061	MA0074.1	RXRA::VDR	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	8674817
MA0075.4	AC0015	MA0075.4	PRRX2	['Homeo domain factors']	Unknown	7901837
MA0076.3	AC0034	MA0076.3	ELK4	['Tryptophan cluster factors']	Unknown	8524663
MA0077.2	AC0009	MA0077.2	SOX9	['High-mobility group (HMG) domain factors']	Unknown	9973626
MA0079.5	AC0102	MA0079.5	SP1	['C2H2 zinc finger factors']	Unknown	22021377
MA0081.3	AC0033	MA0081.3	SPIB	['Tryptophan cluster factors']	Unknown	7624145
MA0083.3	AC0164	MA0083.3	SRF	['MADS box factors']	Unknown	2243767
MA0084.2	AC0009	MA0084.2	SRY	['High-mobility group (HMG) domain factors']	Unknown	8190643
MA0088.2	AC0157	MA0088.2	ZNF143	['C2H2 zinc finger factors']	Unknown	9009278
MA0089.3	AC0067	MA0089.3	MAFG::NFE2L1	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	9421508
MA0090.4	AC0125	MA0090.4	TEAD1	['TEA domain factors']	Unknown	23332764
MA0091.2	AC0048	MA0091.2	TAL1::TCF3	['Basic helix-loop-helix factors (bHLH)', 'Basic helix-loop-helix factors (bHLH)']	Unknown	8289805
MA0093.4	AC0044	MA0093.4	USF1	['Basic helix-loop-helix factors (bHLH)']	Unknown	23332764
MA0098.4	AC0034	MA0098.4	ETS1	['Tryptophan cluster factors']	Unknown	20517297
MA0099.4	AC0067	MA0099.4	FOS::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	11988758
MA0100.4	AC0050	MA0100.4	MYB	['Tryptophan cluster factors']	Unknown	8467793
MA0102.5	AC0069	MA0102.5	CEBPA	['Basic leucine zipper factors (bZIP)']	Unknown	8632009
MA0103.4	AC0046	MA0103.4	ZEB1	['Homeo domain factors']	Unknown	8065305
MA0104.5	AC0042	MA0104.5	MYCN	['Basic helix-loop-helix factors (bHLH)']	Unknown	18555785
MA0105.4	AC0121	MA0105.4	NFKB1	['Rel homology region (RHR) factors']	Unknown	20066093
MA0106.3	AC0133	MA0106.3	TP53	['p53 domain factors']	Unknown	1588974
MA0108.3	AC0008	MA0108.3	TBP	['TATA-binding proteins']	Unknown	2329577
MA0112.4	AC0064	MA0112.4	ESR1	['Nuclear receptors with C4 zinc fingers']	Unknown	19339991
MA0113.4	AC0141	MA0113.4	NR3C1	['Nuclear receptors with C4 zinc fingers']	Unknown	15563547
MA0114.5	AC0053	MA0114.5	HNF4A	['Nuclear receptors with C4 zinc fingers']	Unknown	22383578
MA0115.1	AC0054	MA0115.1	NR1H2::RXRA	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	10187832
MA0119.1	AC0122	MA0119.1	NFIC::TLX1	['SMAD/NF-1 DNA-binding domain factors', 'Homeo domain factors']	Unknown	10327073
MA0131.3	AC0034	MA0131.3	HINFP	['C2H2 zinc finger factors']	Unknown	14752047
MA0132.3	AC0015	MA0132.3	PDX1	['Homeo domain factors']	Unknown	18585360
MA0137.4	AC0138	MA0137.4	STAT1	['STAT domain factors']	Unknown	17558387
MA0138.3	AC0089	MA0138.3	REST	['C2H2 zinc finger factors']	Unknown	17540862
MA0139.2	AC0090	MA0139.2	CTCF	['C2H2 zinc finger factors']	Unknown	17512414
MA0140.3	AC0027	MA0140.3	GATA1::TAL1	['Other C4 zinc finger-type factors', 'Basic helix-loop-helix factors (bHLH)']	Unknown	20566737
MA0141.4	AC0065	MA0141.4	ESRRB	['Nuclear receptors with C4 zinc fingers']	Unknown	18555785
MA0143.5	AC0009	MA0143.5	SOX2	['High-mobility group (HMG) domain factors']	Unknown	15863505
MA0144.3	AC0138	MA0144.3	STAT3	['STAT domain factors']	Unknown	18555785
MA0147.4	AC0042	MA0147.4	MYC	['Basic helix-loop-helix factors (bHLH)']	Unknown	18555785
MA0148.5	AC0001	MA0148.5	FOXA1	['Fork head/winged helix factors']	Unknown	18798982
MA0153.2	AC0020	MA0153.2	HNF1B	['Homeo domain factors']	Unknown	17916232
MA0154.5	AC0107	MA0154.5	EBF1	['Rel homology region (RHR) factors']	Unknown	8497258
MA0156.4	AC0034	MA0156.4	FEV	['Tryptophan cluster factors']	Unknown	20517297
MA0158.2	AC0015	MA0158.2	HOXA5	['Homeo domain factors']	Unknown	18585359
MA0159.1	AC0065	MA0159.1	RARA::RXRA	['Nuclear receptors with C4 zinc fingers', 'Nuclear receptors with C4 zinc fingers']	Unknown	17916232
MA0160.3	AC0052	MA0160.3	NR4A2	['Nuclear receptors with C4 zinc fingers']	Unknown	17916232
MA0161.3	AC0122	MA0161.3	NFIC	['SMAD/NF-1 DNA-binding domain factors']	Unknown	12101405
MA0162.5	AC0101	MA0162.5	EGR1	['C2H2 zinc finger factors']	Unknown	16041365
MA0259.2	AC0042	MA0259.2	ARNT::HIF1A	['Basic helix-loop-helix factors (bHLH)', 'Basic helix-loop-helix factors (bHLH)']	Unknown	16234508
MA0442.3	AC0010	MA0442.3	SOX10	['High-mobility group (HMG) domain factors']	Unknown	17916232
MA0462.3	AC0067	MA0462.3	BATF::JUN	['Basic leucine zipper factors (bZIP)', 'Basic leucine zipper factors (bZIP)']	Unknown	22992523
MA0463.3	AC0137	MA0463.3	BCL6	['C2H2 zinc finger factors']	Unknown	7945383
MA0464.3	AC0042	MA0464.3	BHLHE40	['Basic helix-loop-helix factors (bHLH)']	Unknown	15186484
MA0465.3	AC0006	MA0465.3	CDX2	['Homeo domain factors']	Unknown	20696899
MA0466.4	AC0069	MA0466.4	CEBPB	['Basic leucine zipper factors (bZIP)']	Unknown	8632009
MA0469.4	AC0136	MA0469.4	E2F3	['Fork head/winged helix factors']	Unknown	18836037
MA0470.3	AC0136	MA0470.3	E2F4	['Fork head/winged helix factors']	Unknown	18836037
MA0471.3	AC0096	MA0471.3	E2F6	['Fork head/winged helix factors']	Unknown	17908821
MA0472.2	AC0101	MA0472.2	EGR2	['C2H2 zinc finger factors']	Unknown	7891721
MA0473.4	AC0033	MA0473.4	ELF1	['Tryptophan cluster factors']	Unknown	8756667
MA0475.3	AC0034	MA0475.3	FLI1	['Tryptophan cluster factors']	Unknown	7517940
MA0476.2	AC0067	MA0476.2	FOS	['Basic leucine zipper factors (bZIP)']	Unknown	17916232
